ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
274.9,0.5466,NA,NA,NA,NA,110.7,1.001,1.58E+09,1.448,NA,NA,22.27,1.922
273.9,0.6502,NA,NA,NA,NA,133.6,0.7808,67140,1.033,NA,NA,22.04,1.594
95.2,0.9073,NA,NA,NA,NA,96.45,1.147,194500000,0.5054,NA,NA,21.22,1.663
228.5,0.5936,NA,NA,NA,NA,112.7,0.8853,1494,0.9607,NA,NA,21.31,1.493
151.9,0.6682,NA,NA,NA,NA,118.8,0.9726,141000,1.324,NA,NA,22.75,1.761
409.4,0.504,NA,NA,NA,NA,170.6,0.6541,8525000,0.9917,NA,NA,21.17,1.707
276.5,0.5342,NA,NA,NA,NA,294.2,0.5137,3211000,0.9762,NA,NA,21.9,1.922
273.5,0.5261,NA,NA,NA,NA,498.9,0.5098,2107000,1.217,NA,NA,24.62,1.646
257.5,0.5213,NA,NA,NA,NA,409.7,0.5027,4881000,1.371,NA,NA,22.16,1.588
139.1,0.8823,NA,NA,NA,NA,158.9,0.6126,1.91E+09,1.961,NA,NA,20.69,1.69
144.1,0.765,NA,NA,NA,NA,206.3,0.5362,3.83E+09,1.771,NA,NA,22.66,1.63
235.6,0.5323,NA,NA,NA,NA,56.94,0.5942,679.1,1.983,NA,NA,21.81,1.627
197.8,0.5428,NA,NA,NA,NA,180.4,0.8972,310500000,1.888,NA,NA,22.97,1.525
242.4,0.8393,NA,NA,NA,NA,623.7,0.6283,2.01E+09,1.64,NA,NA,20.67,1.823
97.58,1.496,NA,NA,NA,NA,177.8,0.8304,276800000,1.612,NA,NA,19.76,1.288
141.9,1.372,NA,NA,NA,NA,96.19,0.6776,5588000,0.5207,NA,NA,20.43,1.56
118.2,1.131,NA,NA,NA,NA,278.7,0.5116,13420000,1.098,NA,NA,18.71,1.601
154.5,0.833,NA,NA,NA,NA,102.1,1.007,5941000,0.7434,NA,NA,23.69,1.535
88.48,1.387,NA,NA,NA,NA,65.07,1.373,18170000,1.057,NA,NA,19.78,1.749
259,0.7431,NA,NA,NA,NA,135.1,1.146,3.01E+09,1.625,NA,NA,19.37,1.764
136.8,0.9038,NA,NA,NA,NA,196.4,0.7298,207200000,1.746,NA,NA,22.18,1.642
121.9,1.027,NA,NA,NA,NA,176.1,0.7419,276400000,1.7,NA,NA,20.62,1.681
235.4,0.5685,NA,NA,NA,NA,166.2,0.5816,2705000,1.682,NA,NA,20.77,1.531
133.7,0.8302,NA,NA,NA,NA,142.3,0.6575,8886000,1.22,NA,NA,21,1.486
