ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
23720,0.547,NA,NA,NA,NA,446100,0.9219,26660,0.5673,NA,NA,4697,1.787
21550,0.6907,NA,NA,NA,NA,68770,1.013,30740,0.7086,NA,NA,4516,1.129
26070,0.5778,NA,NA,NA,NA,79870000,1.927,53030,0.5684,NA,NA,2588,1.068
26820,0.5197,NA,NA,NA,NA,877200000,0.8899,22590,0.6198,NA,NA,4436,1.011
23760,0.5917,NA,NA,NA,NA,158900,0.626,42070,0.5096,NA,NA,5506,1.215
28110,0.5228,NA,NA,NA,NA,387500,0.7089,53600,0.5306,NA,NA,4415,1.985
32900,0.582,NA,NA,NA,NA,485800,0.7245,55350,0.5617,NA,NA,4565,1.564
24500,0.5063,NA,NA,NA,NA,138000,0.8418,36380,0.5101,NA,NA,4835,1.178
26060,0.519,NA,NA,NA,NA,1200000,0.5551,60880,0.5115,NA,NA,5032,0.9844
15520,0.6458,NA,NA,NA,NA,791500,0.6131,23830,0.6679,NA,NA,2274,0.5104
37100,0.5628,NA,NA,NA,NA,1807000,0.5932,25610,0.6019,NA,NA,4574,0.7447
30370,0.5452,NA,NA,NA,NA,2483000,0.5156,56950,0.5188,NA,NA,3687,1.282
29840,0.5587,NA,NA,NA,NA,866500,0.541,28390,0.5756,NA,NA,3051,0.8508
35430,0.5053,NA,NA,NA,NA,866500,0.541,70070,0.6934,NA,NA,3827,1.366
35530,0.5001,NA,NA,NA,NA,417800,0.6501,30740,0.5652,NA,NA,5664,0.9393
34190,0.5132,NA,NA,NA,NA,346200,0.6147,31970,0.5228,NA,NA,6588,1.208
39830,0.5333,NA,NA,NA,NA,1105000,0.5166,24200,0.6917,NA,NA,4429,0.803
52360,0.6331,NA,NA,NA,NA,678900,0.5247,11390,1.166,NA,NA,6340,0.5336
45600,0.5439,NA,NA,NA,NA,482500,0.6112,72150,0.5124,NA,NA,3329,0.9528
39300,0.5837,NA,NA,NA,NA,1126000,0.5944,55020,0.9442,NA,NA,4094,0.7677
30510,0.5352,NA,NA,NA,NA,502500,0.7124,9900,0.6783,NA,NA,4623,0.9397
36050,0.5203,NA,NA,NA,NA,843500,0.5369,21310,0.5497,NA,NA,6529,0.827
37270,0.5097,NA,NA,NA,NA,589500,0.5959,3627000,1.268,NA,NA,6103,0.9517
24280,0.5489,NA,NA,NA,NA,3611000,0.5546,49930,0.5212,NA,NA,5142,0.9758
15300,0.516,NA,NA,NA,NA,1848000,0.6236,49930,0.5212,NA,NA,4712,1.405
8611,1.352,NA,NA,NA,NA,537100,0.6589,35330,0.5059,NA,NA,4734,1.402
13030,1.406,NA,NA,NA,NA,3184000,1.167,53630,0.5126,NA,NA,4629,1.113
18300,0.6902,NA,NA,NA,NA,2753000,1.005,29290,0.817,NA,NA,4496,0.6446
27270,0.5619,NA,NA,NA,NA,320100,0.9242,19070,0.836,NA,NA,5228,1.845
26910,0.51,NA,NA,NA,NA,356200,0.7206,54690,0.9038,NA,NA,5506,1.09
43300,0.5307,NA,NA,NA,NA,2004000,0.6153,70520,0.5015,NA,NA,3391,0.5137
49130,0.5255,NA,NA,NA,NA,3030000,0.5015,152500,0.5574,NA,NA,5597,1.303
60970,0.5043,NA,NA,NA,NA,8519000,0.5071,98800,0.5695,NA,NA,4003,1.577
28640,0.7749,NA,NA,NA,NA,895000,0.502,17980,0.8437,NA,NA,5619,0.9972
22420,0.5444,NA,NA,NA,NA,290700,0.6206,37380,0.5739,NA,NA,5823,1.093
12460,0.5983,NA,NA,NA,NA,172900,0.9668,34520,0.7492,NA,NA,5920,1.732
14960,0.9065,NA,NA,NA,NA,42690,1.429,27700,1.04,NA,NA,4981,1.199
34520,0.6075,NA,NA,NA,NA,1436000,1.09,11750,0.9184,NA,NA,3734,1.097
21830,0.6489,NA,NA,NA,NA,85610,0.9811,28280,0.5823,NA,NA,4833,1.28
24820,0.7947,NA,NA,NA,NA,792200000,1.096,30360,0.5453,NA,NA,3982,1.385
39180,0.5568,NA,NA,NA,NA,927600000,0.8315,10010,1.522,NA,NA,4602,1.665
26340,0.6007,NA,NA,NA,NA,184700,1.054,21520,1.128,NA,NA,4475,0.8607
24400,0.602,NA,NA,NA,NA,222600,1.169,17200,1.208,NA,NA,3810,1.33
21650,0.571,NA,NA,NA,NA,2138000,1.477,21910,0.5773,NA,NA,4398,1.665
