ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
633200,0.584,NA,NA,NA,NA,694900,1.748,1200000,0.6811,NA,NA,3349000,0.6016
713600,0.5105,NA,NA,NA,NA,2751000,1.075,1341000,0.589,NA,NA,4065000,0.5241
575200,0.5187,NA,NA,NA,NA,812900,1.658,1030000,0.5776,NA,NA,3445000,0.5073
767300,0.5017,NA,NA,NA,NA,710300,1.676,5124000,0.5668,NA,NA,2125000,0.5076
740200,0.5161,NA,NA,NA,NA,659200,1.592,1113000,0.5754,NA,NA,1940000,0.5452
797600,0.5058,NA,NA,NA,NA,258800000,1.863,2298000,0.5019,NA,NA,2749000,0.5182
586400,0.5295,NA,NA,NA,NA,609100000,1.985,1452000,0.584,NA,NA,2146000,0.517
537200,0.598,NA,NA,NA,NA,7835000,0.8677,867900,0.6036,NA,NA,2921000,0.5183
639300,0.5224,NA,NA,NA,NA,204500000,0.5538,1855000,0.6366,NA,NA,3645000,0.5169
580500,0.6098,NA,NA,NA,NA,13110000,0.7293,1176000,0.7979,NA,NA,2403000,0.5619
639400,0.5502,NA,NA,NA,NA,554200000,0.639,778100,0.6912,NA,NA,3330000,0.5151
646100,0.5057,NA,NA,NA,NA,3.39E+09,1.433,1014000,0.6137,NA,NA,2907000,0.5019
649000,0.5617,NA,NA,NA,NA,2803000,1.433,1842000,0.5413,NA,NA,1550000,0.6424
539200,0.5488,NA,NA,NA,NA,4.83E+09,0.8163,1968000,0.6107,NA,NA,2219000,0.5632
286800,0.7297,NA,NA,NA,NA,7.77E+09,0.6007,4132000,0.5332,NA,NA,1950000,0.5468
269300,0.8258,NA,NA,NA,NA,1752000,1.183,7234000,0.5259,NA,NA,3495000,0.5028
669300,0.525,NA,NA,NA,NA,3151000,0.9855,7234000,0.5259,NA,NA,1715000,0.5988
1190000,0.5044,NA,NA,NA,NA,4.08E+09,0.5045,4876000,0.5098,NA,NA,2543000,0.5137
749200,0.5431,NA,NA,NA,NA,6192000,0.906,2027000,0.5347,NA,NA,2060000,0.5312
960800,0.5187,NA,NA,NA,NA,2036000,1.267,984400,0.7272,NA,NA,1180000,0.6557
632000,0.573,NA,NA,NA,NA,19610000,1.003,892000,0.8967,NA,NA,3356000,0.5173
812400,0.5129,NA,NA,NA,NA,16770000,0.9756,706500,0.9175,NA,NA,2998000,0.5144
709600,0.5125,NA,NA,NA,NA,38120000,0.5557,4439000,0.5664,NA,NA,2183000,0.5676
918700,0.502,NA,NA,NA,NA,637100000,1.678,22840000,1.164,NA,NA,2.00E+06,0.5473
844600,0.5182,NA,NA,NA,NA,325500000,0.6902,204600000,1.044,NA,NA,2171000,0.5128
554600,0.5019,NA,NA,NA,NA,25430000,0.6292,1.43E+09,1.382,NA,NA,2394000,0.5144
616700,0.5376,NA,NA,NA,NA,77440000,0.5191,2.60E+09,1.26,NA,NA,2698000,0.5029
374500,0.6863,NA,NA,NA,NA,28110000,0.5372,173200000,1.614,NA,NA,998800,0.667
746900,0.5095,NA,NA,NA,NA,26120000,0.9365,5182000,0.5027,NA,NA,1682000,0.5946
711200,0.5153,NA,NA,NA,NA,1639000,1.633,3025000,0.5137,NA,NA,2865000,0.5019
569600,0.607,NA,NA,NA,NA,3075000,1.228,1718000,0.5063,NA,NA,2115000,0.6201
189500,1.118,NA,NA,NA,NA,8.87E+09,0.6423,2702000,0.5697,NA,NA,1058000,0.7447
434600,0.8045,NA,NA,NA,NA,985400000,1.499,983000,0.5154,NA,NA,1201000,0.6003
745700,0.508,NA,NA,NA,NA,2128000,1.526,1132000,0.5484,NA,NA,1791000,0.6488
419200,0.6479,NA,NA,NA,NA,808300,1.707,1079000,0.5814,NA,NA,3962000,0.5233
342200,0.8229,NA,NA,NA,NA,672000,1.579,1805000,0.5998,NA,NA,3684000,0.5075
817400,0.5298,NA,NA,NA,NA,6.19E+09,1.202,4016000,0.5259,NA,NA,2956000,0.5064
990800,0.5006,NA,NA,NA,NA,2969000,1.581,1539000,0.5299,NA,NA,2001000,0.5396
703300,0.5568,NA,NA,NA,NA,460400000,0.9429,489800,0.926,NA,NA,2002000,0.5479
797400,0.5619,NA,NA,NA,NA,3.18E+09,1.731,1560000,0.5074,NA,NA,2084000,0.5314
730700,0.5795,NA,NA,NA,NA,1780000,1.683,747000,0.5138,NA,NA,1488000,0.6541
1184000,0.5087,NA,NA,NA,NA,5282000,1.4,8179000,0.5164,NA,NA,2386000,0.552
437800,0.6611,NA,NA,NA,NA,2.80E+08,0.5779,807900,0.6588,NA,NA,2690000,0.524
379800,0.9396,NA,NA,NA,NA,75460000,1.153,864500,0.6648,NA,NA,2418000,0.5521
300600,1.011,NA,NA,NA,NA,403800000,0.8008,1408000,0.5716,NA,NA,3792000,0.5012
613100,0.7563,NA,NA,NA,NA,4009000,0.8046,738900,0.5384,NA,NA,3147000,0.5039
764100,0.5819,NA,NA,NA,NA,77620000,0.5072,1099000,0.7064,NA,NA,1904000,0.5344
791800,0.5487,NA,NA,NA,NA,37980000,0.5739,1706000,0.5228,NA,NA,3016000,0.5023
620100,0.573,NA,NA,NA,NA,827200,1.615,611900,0.8722,NA,NA,2074000,0.5327
637500,0.5298,NA,NA,NA,NA,68620000,1.643,1945000,0.5555,NA,NA,1990000,0.552
1091000,0.5068,NA,NA,NA,NA,137800000,1.935,2180000,0.8015,NA,NA,1660000,0.5111
608300,0.5375,NA,NA,NA,NA,15140000,0.7781,1917000,0.5889,NA,NA,2037000,0.5677
502900,0.6734,NA,NA,NA,NA,4476000,1.052,1837000,0.6305,NA,NA,2273000,0.5481
752600,0.5079,NA,NA,NA,NA,405100000,1.764,630000,0.5549,NA,NA,2447000,0.5285
523300,0.5957,NA,NA,NA,NA,1403000,1.451,1502000,0.5405,NA,NA,2924000,0.5215
874200,0.5144,NA,NA,NA,NA,267500000,1.309,1172000,0.625,NA,NA,1865000,0.5647
697600,0.5093,NA,NA,NA,NA,9598000,0.7381,1001000,0.6511,NA,NA,3740000,0.5174
698300,0.5185,NA,NA,NA,NA,817700000,0.5992,2741000,0.5463,NA,NA,2926000,0.5014
541300,0.7401,NA,NA,NA,NA,290900000,0.8142,1511000,0.5069,NA,NA,2671000,0.5092
478900,0.5897,NA,NA,NA,NA,421700000,0.57,4377000,0.5695,NA,NA,1539000,0.5706
725800,0.5374,NA,NA,NA,NA,446700000,1.024,251300,1.78,NA,NA,1450000,0.649
743600,0.5788,NA,NA,NA,NA,10240000,0.5822,236800,1.767,NA,NA,2227000,0.5018
453700,0.5211,NA,NA,NA,NA,5522000,1.209,722100,0.5947,NA,NA,1351000,0.6286
370400,0.7308,NA,NA,NA,NA,11910000,0.5372,597800,0.5224,NA,NA,2195000,0.548
671600,0.5363,NA,NA,NA,NA,285900000,1.859,409400,0.8098,NA,NA,1407000,0.5833
658000,0.5123,NA,NA,NA,NA,1.61E+09,1.682,1762000,0.6799,NA,NA,2193000,0.5481
694500,0.5204,NA,NA,NA,NA,42370000,0.5295,816200,1.056,NA,NA,1444000,0.6878
586000,0.5797,NA,NA,NA,NA,6931000,1.154,1223000,0.5488,NA,NA,2504000,0.5005
593500,0.5613,NA,NA,NA,NA,3790000,1.009,1134000,0.5252,NA,NA,2715000,0.5518
413800,0.7392,NA,NA,NA,NA,8.80E+07,1.599,4443000,0.5931,NA,NA,2016000,0.5712
249700,0.7928,NA,NA,NA,NA,1.94E+09,1.588,618800,1.064,NA,NA,2291000,0.5092
467500,0.6347,NA,NA,NA,NA,997500000,0.701,450300,1.034,NA,NA,2576000,0.5433
773300,0.5052,NA,NA,NA,NA,2.62E+09,1.523,87660000,1.712,NA,NA,3006000,0.5104
495800,0.5647,NA,NA,NA,NA,5845000,1.05,39130000,1.475,NA,NA,2570000,0.5323
604600,0.5897,NA,NA,NA,NA,1125000,1.687,447100,1.108,NA,NA,2141000,0.5475
453300,0.6551,NA,NA,NA,NA,730300,1.855,491000,1.009,NA,NA,2075000,0.5195
623000,0.5115,NA,NA,NA,NA,17440000,1.904,681400,0.8104,NA,NA,1246000,0.6532
471200,0.6791,NA,NA,NA,NA,1595000,1.176,885400,0.7937,NA,NA,908400,0.6903
607500,0.6054,NA,NA,NA,NA,3505000,1.275,1037000,0.7127,NA,NA,1959000,0.5768
421000,0.6237,NA,NA,NA,NA,22930000,0.5601,12230000,0.5365,NA,NA,2373000,0.5964
408900,0.6063,NA,NA,NA,NA,65070000,0.646,6764000,0.5017,NA,NA,776400,0.8321
601100,0.5391,NA,NA,NA,NA,41120000,0.586,2535000,0.5026,NA,NA,1995000,0.5662
611300,0.5212,NA,NA,NA,NA,22190000,0.6722,2535000,0.5026,NA,NA,2304000,0.5497
702200,0.5071,NA,NA,NA,NA,1495000,1.488,2535000,0.5026,NA,NA,2338000,0.5159
624500,0.6185,NA,NA,NA,NA,15880000,0.5649,2535000,0.5026,NA,NA,3155000,0.5021
299300,0.7805,NA,NA,NA,NA,28240000,0.5646,1738000,0.578,NA,NA,3165000,0.5099
871500,0.5017,NA,NA,NA,NA,25660000,0.6033,1398000,0.505,NA,NA,2556000,0.5585
741400,0.5038,NA,NA,NA,NA,793300000,1.229,919500,0.5677,NA,NA,2806000,0.5107
924900,0.5036,NA,NA,NA,NA,2021000,0.8954,1577000,0.5158,NA,NA,3293000,0.5113
836000,0.5108,NA,NA,NA,NA,51660000,0.5943,1577000,0.5158,NA,NA,3246000,0.5145
726500,0.5513,NA,NA,NA,NA,4.73E+09,0.6306,1322000,0.5139,NA,NA,3444000,0.5016
