ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1225,0.5488,NA,NA,NA,NA,1.32E+09,1.599,480400,1.964,NA,NA,1.655,0.943
1234,0.6524,NA,NA,NA,NA,139500000,1.372,33730,1.972,NA,NA,1.601,1.066
1151,0.5513,NA,NA,NA,NA,2.63E+08,1.879,2419000,1.653,NA,NA,1.664,1.006
1299,0.5152,NA,NA,NA,NA,3442,1.872,28530000,0.65,NA,NA,1.556,0.8147
1067,0.6958,NA,NA,NA,NA,6.38E+09,0.8818,3.44E+09,0.8446,NA,NA,1.578,0.8572
251.7,1.125,NA,NA,NA,NA,10500000,1.462,1215000,1.848,NA,NA,1.722,1.079
439.1,0.9509,NA,NA,NA,NA,394800,0.5428,46810,1.305,NA,NA,1.705,0.892
321.9,1.061,NA,NA,NA,NA,83260,0.6009,27720,0.9998,NA,NA,1.832,1.037
2274,0.7203,NA,NA,NA,NA,37700,0.9613,154900,1.49,NA,NA,1.434,0.9793
977.9,0.6716,NA,NA,NA,NA,141100,1.696,12060000,1.773,NA,NA,1.362,0.9987
628.2,0.67,NA,NA,NA,NA,8.33E+09,0.9453,6150000,1.485,NA,NA,1.863,0.8581
1772,0.5014,NA,NA,NA,NA,7298,1.708,101200,1.163,NA,NA,1.984,0.81
1491,0.5102,NA,NA,NA,NA,1899,1.699,59900000,1.353,NA,NA,1.574,0.8433
963.9,0.5965,NA,NA,NA,NA,8890,1.961,96170000,1.289,NA,NA,1.456,0.7582
875.9,0.6178,NA,NA,NA,NA,537000,0.9269,23100000,1.118,NA,NA,1.609,0.8983
908.5,0.618,NA,NA,NA,NA,28960000,1.788,371800000,0.6321,NA,NA,1.375,0.7945
1147,0.5448,NA,NA,NA,NA,52600000,0.5738,5530000,1.871,NA,NA,1.492,0.8222
1267,0.5536,NA,NA,NA,NA,475500000,1.343,49190,1.055,NA,NA,1.749,0.8924
1138,0.5247,NA,NA,NA,NA,538000,0.5536,47840000,1.581,NA,NA,1.525,0.9608
1609,0.6224,NA,NA,NA,NA,98910,0.7937,3325000,1.596,NA,NA,1.835,0.8596
1022,0.5327,NA,NA,NA,NA,33770000,1.946,334500000,1.736,NA,NA,1.425,0.8752
2037,0.5497,NA,NA,NA,NA,936400,0.9552,9.78E+09,0.6532,NA,NA,1.532,0.8712
1376,0.5373,NA,NA,NA,NA,1.30E+09,1.733,3102000,1.141,NA,NA,1.519,0.8724
1099,0.5877,NA,NA,NA,NA,798200,1.634,481300000,1.913,NA,NA,1.571,0.901
984.6,0.562,NA,NA,NA,NA,418300000,1.44,7968000,0.6861,NA,NA,1.677,0.92
940,0.5646,NA,NA,NA,NA,8478000,0.8962,327100,1.696,NA,NA,1.643,0.8716
1958,0.5015,NA,NA,NA,NA,724700,1.754,32660000,1.569,NA,NA,1.57,0.8064
1855,0.5067,NA,NA,NA,NA,12040000,1.473,28520,1.858,NA,NA,1.593,0.9796
2302,0.5093,NA,NA,NA,NA,44920000,0.8653,560400000,1.921,NA,NA,1.721,0.9182
1617,0.5159,NA,NA,NA,NA,2397000,1.824,17390,1.751,NA,NA,1.682,0.9328
1189,0.609,NA,NA,NA,NA,46520000,1.564,72600000,0.971,NA,NA,1.499,0.8885
1057,0.5591,NA,NA,NA,NA,1.02E+09,0.5766,655000,1.56,NA,NA,1.682,1.04
780.9,0.6566,NA,NA,NA,NA,6.25E+09,0.606,82710000,1.012,NA,NA,1.51,0.7978
1084,0.6207,NA,NA,NA,NA,217300,1.993,51670000,1.605,NA,NA,1.578,0.8646
1210,0.5396,NA,NA,NA,NA,9897000,1.278,460500,1.294,NA,NA,1.681,0.8026
1317,0.5186,NA,NA,NA,NA,2.61E+09,0.9604,23780000,1.579,NA,NA,1.599,0.8349
621.7,0.7008,NA,NA,NA,NA,2009000,0.6307,10740,0.8859,NA,NA,1.732,0.8114
612.7,0.8072,NA,NA,NA,NA,7.99E+09,1.555,13100,1.552,NA,NA,1.942,0.6307
1124,0.5743,NA,NA,NA,NA,125400,0.9812,1.85E+09,1.536,NA,NA,1.889,0.7945
786.2,0.6308,NA,NA,NA,NA,123100,1.937,162300000,0.5459,NA,NA,1.515,0.8385
2135,0.5089,NA,NA,NA,NA,987.1,1.967,115600,1.734,NA,NA,1.64,0.7716
1960,0.5725,NA,NA,NA,NA,229400,1.027,463900,1.384,NA,NA,1.523,0.8007
1664,0.5159,NA,NA,NA,NA,1371000,1.567,151300,1.189,NA,NA,1.514,0.6501
1519,0.5467,NA,NA,NA,NA,693800,0.5483,24400,0.9903,NA,NA,1.583,0.9555
759.3,0.6585,NA,NA,NA,NA,11600000,1.983,23300000,0.5929,NA,NA,2.009,0.8679
1345,0.6291,NA,NA,NA,NA,272100,1.269,77740000,0.6562,NA,NA,1.817,0.9091
1073,0.6597,NA,NA,NA,NA,9553000,1.217,364900000,0.5303,NA,NA,1.568,0.859
1346,0.568,NA,NA,NA,NA,128100000,1.028,1313000,1.152,NA,NA,1.72,0.8569
1983,0.5111,NA,NA,NA,NA,6726,0.9687,812100000,0.9253,NA,NA,1.376,0.7109
1662,0.5093,NA,NA,NA,NA,34780,1.438,2.74E+09,0.7693,NA,NA,1.824,0.9574
983,0.6262,NA,NA,NA,NA,7103000,0.9409,106300000,0.9862,NA,NA,1.603,0.747
1381,0.5503,NA,NA,NA,NA,6511000,1.081,1990,1.813,NA,NA,1.704,0.868
1407,0.6676,NA,NA,NA,NA,111200000,1.054,6.94E+09,1.721,NA,NA,1.558,0.8946
2650,0.501,NA,NA,NA,NA,7.00E+09,0.7906,3.16E+09,1.724,NA,NA,1.751,0.9609
1212,0.5444,NA,NA,NA,NA,2.17E+09,0.9075,1.23E+09,1.309,NA,NA,1.519,1.076
1722,0.5057,NA,NA,NA,NA,603500000,0.6653,15470,1.422,NA,NA,1.532,0.9325
1401,0.562,NA,NA,NA,NA,928100,0.5566,297200000,1.484,NA,NA,1.691,0.8927
1499,0.5008,NA,NA,NA,NA,1084000,1.732,9127000,0.9324,NA,NA,1.768,0.8901
1029,0.6408,NA,NA,NA,NA,832700,0.9469,3776000,1.067,NA,NA,1.606,0.8544
802.9,0.6168,NA,NA,NA,NA,4.60E+09,1.514,5686,0.9442,NA,NA,1.684,0.9354
1004,0.6228,NA,NA,NA,NA,233800,1.28,2909000,1.832,NA,NA,1.602,0.8352
1018,0.5585,NA,NA,NA,NA,3108000,1.484,609300,1.489,NA,NA,1.701,0.8506
2112,0.528,NA,NA,NA,NA,245900000,1.062,139200,1.225,NA,NA,1.685,0.9082
2195,0.5288,NA,NA,NA,NA,5.19E+09,1.686,24650,1.179,NA,NA,1.733,0.8641
1318,0.5434,NA,NA,NA,NA,13900000,0.9541,530900,1.206,NA,NA,1.391,1.077
1697,0.5079,NA,NA,NA,NA,142700000,1.826,101300000,0.6891,NA,NA,1.58,0.9734
955.9,0.5796,NA,NA,NA,NA,6131,1.407,7593000,1.923,NA,NA,1.576,0.883
1546,0.5567,NA,NA,NA,NA,5325,1.631,488200000,1.083,NA,NA,1.581,0.9564
891.4,0.7319,NA,NA,NA,NA,2.35E+09,1.676,1993,1.629,NA,NA,1.461,0.7838
738.6,0.5706,NA,NA,NA,NA,70190000,1.323,432300,1.112,NA,NA,1.299,0.8412
867.8,0.5701,NA,NA,NA,NA,5.78E+09,0.7458,54730,1.272,NA,NA,1.572,0.9358
1223,0.5042,NA,NA,NA,NA,861700,2,407900,0.8484,NA,NA,1.386,0.7864
2002,0.5444,NA,NA,NA,NA,8.40E+09,1.734,322700,0.7751,NA,NA,1.572,1.015
1148,0.6675,NA,NA,NA,NA,26650000,1.278,2134,1.821,NA,NA,1.447,1.048
1099,0.5477,NA,NA,NA,NA,708500000,0.8317,1053000,1.389,NA,NA,1.457,1.068
1187,0.5412,NA,NA,NA,NA,1770,1.45,4830,1.416,NA,NA,1.547,1.001
851.9,0.5785,NA,NA,NA,NA,16100000,1.566,59910,1.424,NA,NA,1.634,0.875
2086,0.5005,NA,NA,NA,NA,3876000,0.7289,908700,0.8285,NA,NA,1.622,1.282
2336,0.5208,NA,NA,NA,NA,2696000,1.117,1.43E+09,0.5591,NA,NA,1.718,1.005
2192,0.5069,NA,NA,NA,NA,13740000,1.96,7.25E+09,1.974,NA,NA,1.325,1.053
2770,0.5098,NA,NA,NA,NA,185600,0.9103,2.92E+09,0.9766,NA,NA,1.743,0.8179
1095,0.6337,NA,NA,NA,NA,1980000,1.783,665200000,1.265,NA,NA,1.516,0.8067
1947,0.515,NA,NA,NA,NA,49600000,1.596,22290000,1.958,NA,NA,1.481,1.055
1354,0.5571,NA,NA,NA,NA,109700,1.573,1.46E+09,1.859,NA,NA,1.689,0.9569
