ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
87.83,1.024,NA,NA,NA,NA,20400,1.376,37640000,1.334,NA,NA,1085,0.5956
65.72,1.175,NA,NA,NA,NA,60380000,1.101,1.08E+09,1.059,NA,NA,940.1,0.6132
126.2,0.8581,NA,NA,NA,NA,9128000,1.838,212500,1.79,NA,NA,870,0.6006
98.82,0.7484,NA,NA,NA,NA,275800000,1.477,235300000,1.47,NA,NA,896.4,0.5936
66.18,1.213,NA,NA,NA,NA,56470,1.286,1.15E+09,0.7996,NA,NA,1012,0.6091
93.78,1.426,NA,NA,NA,NA,489000,0.8405,3665000,0.9073,NA,NA,1768,0.5262
133.5,0.6129,NA,NA,NA,NA,11460,1.564,23370,1.62,NA,NA,1680,0.5316
105.5,0.8654,NA,NA,NA,NA,646.8,1.742,14220,1.927,NA,NA,1450,0.5526
71.98,1.318,NA,NA,NA,NA,16040,0.6675,2670000,1.799,NA,NA,997.9,0.6011
86.75,1.113,NA,NA,NA,NA,527700,0.9008,847600000,1.706,NA,NA,898.9,0.6141
76.38,1.402,NA,NA,NA,NA,5240,1.301,758200000,1.747,NA,NA,810.7,0.6171
74.91,1.31,NA,NA,NA,NA,447600000,1.872,9.58E+09,1.58,NA,NA,1039,0.5602
104,1.019,NA,NA,NA,NA,20830,1.369,5.48E+09,0.9356,NA,NA,933.7,0.5643
73.32,1.023,NA,NA,NA,NA,8.25E+09,0.7301,90480000,0.8333,NA,NA,1223,0.572
95.83,1.144,NA,NA,NA,NA,3.80E+09,1.43,12110000,0.8367,NA,NA,1515,0.5283
72.06,1.546,NA,NA,NA,NA,528800000,0.7343,1.70E+09,1.084,NA,NA,1184,0.5768
84.62,1.199,NA,NA,NA,NA,705700,1.488,1974000,0.6913,NA,NA,1311,0.5479
78.16,1.26,NA,NA,NA,NA,7.90E+09,1.332,4.71E+09,1.249,NA,NA,1048,0.5955
86.7,1.19,NA,NA,NA,NA,2695,1.921,427300,1.854,NA,NA,804.3,0.6766
106,1.144,NA,NA,NA,NA,4066000,0.9124,3965000,1.46,NA,NA,619.6,0.6846
101.6,1.405,NA,NA,NA,NA,130400000,1.474,4571,1.923,NA,NA,729.1,0.6438
88.05,0.7939,NA,NA,NA,NA,218900,1.031,9556000,1.925,NA,NA,879.5,0.67
85.04,0.8861,NA,NA,NA,NA,16650,1.849,9.90E+09,1.758,NA,NA,900.4,0.5885
87.89,1.332,NA,NA,NA,NA,1.09E+09,1.895,4054000,1.957,NA,NA,1398,0.5478
82.36,1.412,NA,NA,NA,NA,46190,1.772,16340,1.048,NA,NA,731,0.6937
68.89,1.304,NA,NA,NA,NA,5195,1.955,40600,1.233,NA,NA,1197,0.5852
78.3,0.928,NA,NA,NA,NA,169100000,0.6185,17150000,1.01,NA,NA,783.1,0.6573
72.92,1.565,NA,NA,NA,NA,4161000,1.004,48350000,1.591,NA,NA,516.6,0.7767
62.37,1.614,NA,NA,NA,NA,360600,1.003,1.52E+09,0.8136,NA,NA,549.2,0.8698
80.22,1.172,NA,NA,NA,NA,11060,1.725,892800,1.129,NA,NA,462.1,0.9219
87.35,1.256,NA,NA,NA,NA,25240,1.51,6.57E+09,1.746,NA,NA,412.6,0.9354
80.55,1.208,NA,NA,NA,NA,16150,1.806,5.32E+09,1.814,NA,NA,372.2,0.9026
76.23,1.158,NA,NA,NA,NA,246100000,1.149,13310000,1.86,NA,NA,506.7,0.8225
81.31,1.202,NA,NA,NA,NA,24880000,1.831,71400,1.171,NA,NA,444.9,0.8045
88.48,1.078,NA,NA,NA,NA,181800,0.769,2572000,1.975,NA,NA,1321,0.584
62.16,1.09,NA,NA,NA,NA,6016,0.9552,1.30E+09,1.859,NA,NA,601.1,0.7927
59.6,0.9669,NA,NA,NA,NA,65940,1.023,58340000,0.812,NA,NA,736.1,0.7402
92.46,0.919,NA,NA,NA,NA,1.05E+09,0.9173,2.35E+09,1.96,NA,NA,923.4,0.6083
86.15,1.519,NA,NA,NA,NA,1584000,1.156,39560,1.273,NA,NA,931.1,0.6105
98.16,1.264,NA,NA,NA,NA,6726000,0.9193,6.83E+09,1.55,NA,NA,1191,0.5393
68.94,1.273,NA,NA,NA,NA,38650,1.146,3012000,0.8641,NA,NA,1261,0.6117
68.89,1.35,NA,NA,NA,NA,3.96E+09,1.692,2951000,0.6429,NA,NA,905.8,0.6496
66.5,1.485,NA,NA,NA,NA,1790000,1.104,2883,1.411,NA,NA,538.9,0.7168
95.41,0.9243,NA,NA,NA,NA,1050000,1.107,610100,1.278,NA,NA,1020,0.586
70.78,0.8606,NA,NA,NA,NA,847200000,0.7819,53580,1.309,NA,NA,992.6,0.6226
64.34,1.68,NA,NA,NA,NA,14120,1.386,265700,1.34,NA,NA,916.5,0.6213
87,1.056,NA,NA,NA,NA,75760000,0.5941,8.40E+09,1.866,NA,NA,850.6,0.6039
97.73,1.015,NA,NA,NA,NA,271400000,0.7546,8.96E+09,1.993,NA,NA,1126,0.5884
77.76,1.272,NA,NA,NA,NA,30100000,0.8143,8.96E+09,1.993,NA,NA,766.2,0.6404
79.13,1.854,NA,NA,NA,NA,3216,1.216,56170000,0.892,NA,NA,763.3,0.6821
137.3,0.8571,NA,NA,NA,NA,51470,0.9968,979100000,1.401,NA,NA,617.7,0.7069
111.9,1.29,NA,NA,NA,NA,37390,1.328,46270,0.7093,NA,NA,799.3,0.6803
63.61,1.378,NA,NA,NA,NA,3.46E+09,0.6211,23610,1.318,NA,NA,866.1,0.6565
77.07,1.042,NA,NA,NA,NA,12750,1.756,420200000,0.9925,NA,NA,1150,0.5574
101.3,1.319,NA,NA,NA,NA,565400000,1.923,5592,1.368,NA,NA,1293,0.5505
77.55,1.223,NA,NA,NA,NA,237300000,1.204,48600,1.88,NA,NA,1266,0.5331
101.6,1.201,NA,NA,NA,NA,1.04E+09,1.33,24170,1.519,NA,NA,855,0.5948
86.57,1.257,NA,NA,NA,NA,1.60E+08,0.6316,161600000,0.7224,NA,NA,568,0.7292
115.2,0.9187,NA,NA,NA,NA,11170000,1.203,8.83E+09,1.018,NA,NA,817.9,0.6287
89.14,1.017,NA,NA,NA,NA,8272000,1.94,73950000,1.54,NA,NA,787,0.6691
54.36,1.182,NA,NA,NA,NA,55220000,1.952,2112000,1.683,NA,NA,731.3,0.7179
78.38,1.268,NA,NA,NA,NA,1236,1.624,14950,1.946,NA,NA,985.3,0.5596
75.07,1.277,NA,NA,NA,NA,4741000,1.4,5091,1.042,NA,NA,1502,0.5176
140.7,0.8837,NA,NA,NA,NA,3550,1.776,496000,1.369,NA,NA,1343,0.5181
102.9,1.322,NA,NA,NA,NA,5054,1.966,173400,0.7081,NA,NA,945.4,0.6038
88.49,1.3,NA,NA,NA,NA,1326,1.413,398000,1.249,NA,NA,1089,0.5528
84.13,0.9242,NA,NA,NA,NA,64650,1.507,3702,1.217,NA,NA,1114,0.5604
83.49,1.209,NA,NA,NA,NA,9.39E+09,1.223,775.6,1.995,NA,NA,880.3,0.6146
58.28,1.103,NA,NA,NA,NA,173200000,1.255,50530000,1.646,NA,NA,694.5,0.6772
91.57,0.8148,NA,NA,NA,NA,1.13E+09,1.92,3.05E+09,1.623,NA,NA,729.6,0.6698
76.04,1.892,NA,NA,NA,NA,436600000,1.785,271500,1.262,NA,NA,877.4,0.6073
91.84,1.327,NA,NA,NA,NA,3.38E+09,1.094,472800,1.287,NA,NA,1045,0.6018
86.19,1.038,NA,NA,NA,NA,851.8,1.981,32990,1.093,NA,NA,797.9,0.6147
57.6,0.8891,NA,NA,NA,NA,157500,1.364,144500000,1.522,NA,NA,1075,0.566
84.74,1.277,NA,NA,NA,NA,923900000,1.209,2636000,0.5331,NA,NA,834.5,0.6292
81.85,0.9083,NA,NA,NA,NA,713200,0.5747,2418,1.184,NA,NA,967.4,0.5874
62.12,1.429,NA,NA,NA,NA,82980,1.3,894800,1.49,NA,NA,1219,0.5752
78.74,1.729,NA,NA,NA,NA,23660000,1.547,836000,1.63,NA,NA,1864,0.5084
