ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
10.24,1.39,NA,NA,NA,NA,1676,0.833,183800,1.376,NA,NA,2.294,0.8517
12.98,1.412,NA,NA,NA,NA,1002,1.156,8.47E+09,1.913,NA,NA,2.004,1.081
9.872,1.694,NA,NA,NA,NA,1940,1.031,2730000,1.886,NA,NA,2.51,1.257
11.03,1.858,NA,NA,NA,NA,1731,0.9572,8444,1.733,NA,NA,2.775,1.283
12.94,1.623,NA,NA,NA,NA,1585,0.9181,841200,1.862,NA,NA,1.795,0.8185
12.14,1.796,NA,NA,NA,NA,4063,1.823,45490000,0.8788,NA,NA,2.665,1.728
10.61,1.908,NA,NA,NA,NA,420.7,1.614,736700,1.943,NA,NA,2.844,1.207
10.45,1.934,NA,NA,NA,NA,603.3,1.399,1.44E+09,1.524,NA,NA,3.392,1.446
11.98,1.664,NA,NA,NA,NA,823.4,1.348,75290000,0.8893,NA,NA,2.461,0.7994
11.16,1.967,NA,NA,NA,NA,663.9,1.608,5.08E+09,0.822,NA,NA,2.55,0.9884
8.845,1.835,NA,NA,NA,NA,497.3,1.81,6543000,1.027,NA,NA,2.222,0.9278
11.41,1.92,NA,NA,NA,NA,1153,1.458,91980000,0.6201,NA,NA,2.522,1.086
12.9,1.895,NA,NA,NA,NA,3890,0.7897,179600,0.9717,NA,NA,3.332,1.645
8.956,1.954,NA,NA,NA,NA,922.2,1.545,1171000,1.573,NA,NA,1.972,1.046
9.042,1.935,NA,NA,NA,NA,910.6,1.316,3.10E+09,1.592,NA,NA,2.085,0.9883
12.21,1.248,NA,NA,NA,NA,3136,0.8127,175900000,0.9618,NA,NA,2.16,1.053
13.78,1.477,NA,NA,NA,NA,2312,0.8101,1.29E+09,1.893,NA,NA,2.628,1.601
9.63,1.604,NA,NA,NA,NA,8515,0.5302,1606000,1.963,NA,NA,2.816,1.273
8.503,1.906,NA,NA,NA,NA,8515,0.5302,2255,1.176,NA,NA,2.582,1.251
9.703,1.505,NA,NA,NA,NA,4031,0.7839,670400,1.948,NA,NA,1.928,1.048
11.87,1.95,NA,NA,NA,NA,835.2,1.145,2.42E+09,1.566,NA,NA,2.744,1.243
9.726,1.956,NA,NA,NA,NA,3338,0.7012,14070,0.9841,NA,NA,3.121,1.499
8.453,1.858,NA,NA,NA,NA,3490,0.7461,35590,1.01,NA,NA,2.277,0.7344
7.808,1.465,NA,NA,NA,NA,12450,0.7128,16550,1.741,NA,NA,3.433,1.519
10.78,1.419,NA,NA,NA,NA,800.7,1.482,3.41E+09,0.5637,NA,NA,1.677,0.9141
10.24,1.497,NA,NA,NA,NA,1169,1.113,5.39E+09,0.935,NA,NA,3.008,1.996
9.023,1.636,NA,NA,NA,NA,1252,1.161,809700000,0.9997,NA,NA,1.229,0.8037
6.992,1.295,NA,NA,NA,NA,1732,1.058,3132000,1.344,NA,NA,2.206,1.043
11.69,1.99,NA,NA,NA,NA,17970,0.6039,635400,0.8782,NA,NA,2.44,1.019
8.518,1.841,NA,NA,NA,NA,2335,0.7083,2493,1.619,NA,NA,1.708,0.9162
10.72,1.271,NA,NA,NA,NA,5329,1.049,5.44E+09,1.408,NA,NA,2.173,1.012
11.13,1.76,NA,NA,NA,NA,22570,0.7109,7.01E+09,1.095,NA,NA,2.704,1.072
9.238,1.762,NA,NA,NA,NA,5829,0.5943,2240,1.074,NA,NA,2.4,1.115
10.88,1.136,NA,NA,NA,NA,1209,1.082,71100000,1.656,NA,NA,2.301,0.9162
9.724,1.236,NA,NA,NA,NA,8461,0.5776,1.11E+09,1.157,NA,NA,2.273,1.092
9.206,1.351,NA,NA,NA,NA,4090,0.7449,79680000,1.82,NA,NA,3.19,1.891
13.48,1.102,NA,NA,NA,NA,35890,0.8464,7454000,1.846,NA,NA,2.581,1.184
7.138,1.332,NA,NA,NA,NA,92590000,1.059,1848000,0.8807,NA,NA,2.153,1.05
10.99,0.7895,NA,NA,NA,NA,1126000,0.6759,542600,1.093,NA,NA,2.235,1.278
12.59,0.6946,NA,NA,NA,NA,5005,0.6483,25340,1.058,NA,NA,1.924,0.9405
10.28,1.237,NA,NA,NA,NA,793.8,1.695,69080000,0.6445,NA,NA,2.108,1.072
10.26,1.478,NA,NA,NA,NA,885.1,1.406,1913000,0.603,NA,NA,2.673,1.28
12.04,1.555,NA,NA,NA,NA,8023,0.8767,270100000,1.676,NA,NA,2.754,1.196
8.46,1.473,NA,NA,NA,NA,852.1,1.281,14330000,1.863,NA,NA,2.754,1.259
6.282,1.45,NA,NA,NA,NA,2097,1.331,1.01E+09,1.279,NA,NA,2.539,1.12
10.53,1.817,NA,NA,NA,NA,4785,0.7496,1.06E+09,1.972,NA,NA,2.073,0.8802
12.14,1.916,NA,NA,NA,NA,3006,0.7075,12510,1.665,NA,NA,1.939,0.8417
11.83,1.789,NA,NA,NA,NA,1705,1.048,9417000,1.254,NA,NA,1.904,0.9136
9.809,1.833,NA,NA,NA,NA,8842,0.5086,133700,1.488,NA,NA,2.139,1.013
8.402,1.616,NA,NA,NA,NA,13520,0.6632,3.11E+09,1.435,NA,NA,1.414,0.8357
9.201,1.638,NA,NA,NA,NA,6841,0.7466,1380,0.7867,NA,NA,1.077,0.6588
7.382,1.74,NA,NA,NA,NA,2014,0.8041,75730000,1.817,NA,NA,2.051,0.9261
8.577,1.003,NA,NA,NA,NA,5375,1.433,37270000,1.93,NA,NA,1.695,0.9809
12.1,1.307,NA,NA,NA,NA,62880,1.374,815.3,1.65,NA,NA,2.949,1.377
8.501,1.555,NA,NA,NA,NA,11530,0.5391,336100000,1.818,NA,NA,3.151,1.667
10.97,1.692,NA,NA,NA,NA,7511,0.5966,218900000,0.7713,NA,NA,3.416,1.858
10.29,1.766,NA,NA,NA,NA,3993,0.7315,509400000,0.8493,NA,NA,2.926,1.296
10.22,1.496,NA,NA,NA,NA,5477,0.5919,3.51E+09,0.5133,NA,NA,2.909,1.354
13.37,1.935,NA,NA,NA,NA,3265,0.8949,1059000,1.387,NA,NA,2.568,1.437
11.34,1.653,NA,NA,NA,NA,2464,0.6878,4315000,1.773,NA,NA,2.443,1.116
10.73,1.323,NA,NA,NA,NA,14190,0.6966,21570000,0.9346,NA,NA,2.33,1.23
9.819,1.855,NA,NA,NA,NA,3378,0.7642,1.07E+09,1.802,NA,NA,2.079,0.9967
9.779,1.329,NA,NA,NA,NA,1745,1.039,9.56E+09,1.64,NA,NA,0.7708,0.6085
12.11,1.559,NA,NA,NA,NA,1508,1.291,753.1,1.455,NA,NA,1.289,0.777
9.301,1.945,NA,NA,NA,NA,1258,1.908,8087000,1.426,NA,NA,2.925,1.432
12.33,1.714,NA,NA,NA,NA,823.6,1.041,540400000,1.203,NA,NA,2.708,1.304
10.52,1.931,NA,NA,NA,NA,5823,0.6682,400600,0.6188,NA,NA,2.306,1.114
10.09,1.936,NA,NA,NA,NA,2778,0.6198,292000,1.606,NA,NA,2.345,1.148
9.407,1.955,NA,NA,NA,NA,3442,0.7064,279100000,0.5046,NA,NA,3.151,1.596
9.233,1.768,NA,NA,NA,NA,1559,0.9912,205200000,0.9836,NA,NA,2.111,0.943
12.62,1.879,NA,NA,NA,NA,6205,0.7204,42890000,1.832,NA,NA,2.479,1.037
9.388,1.216,NA,NA,NA,NA,4589,0.6952,1.43E+09,1.87,NA,NA,2.859,1.288
9.236,1.942,NA,NA,NA,NA,422000,1.795,2895000,1.89,NA,NA,1.855,0.8303
11.06,1.998,NA,NA,NA,NA,1.30E+09,0.653,45510000,1.463,NA,NA,1.026,0.6208
13.51,1.026,NA,NA,NA,NA,217500000,1.179,3698000,1.384,NA,NA,1.915,1.242
10.47,1.948,NA,NA,NA,NA,2418000,0.9692,266400,0.5269,NA,NA,1.21,0.7408
