ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
126.1,1.863,NA,NA,NA,NA,1.81E+09,0.7237,1991,0.9993,NA,NA,1377,0.7895
158.6,1.706,NA,NA,NA,NA,106400000,0.6015,2563,0.9285,NA,NA,1230,0.8755
158.2,1.647,NA,NA,NA,NA,44690000,1.056,2852,1.329,NA,NA,1387,0.8364
152.2,1.347,NA,NA,NA,NA,29400000,0.5124,5298,0.5848,NA,NA,1459,0.8745
159.4,1.426,NA,NA,NA,NA,382600000,1.023,4509,0.591,NA,NA,1465,0.8245
129,1.247,NA,NA,NA,NA,1.53E+09,1.207,2490,1.104,NA,NA,1654,0.7883
116.4,1.073,NA,NA,NA,NA,15100,1.924,2163,1.016,NA,NA,1390,0.8108
116.8,0.9956,NA,NA,NA,NA,286200,1.236,3671,0.7233,NA,NA,1335,0.9328
193.8,1.392,NA,NA,NA,NA,5.75E+09,0.5253,2573,0.8649,NA,NA,1417,0.9367
156.5,1.126,NA,NA,NA,NA,1.79E+09,0.831,3080,0.7687,NA,NA,1303,1.001
100.8,1.245,NA,NA,NA,NA,112900,1.736,3292,0.8582,NA,NA,1426,1.015
114.7,0.9292,NA,NA,NA,NA,5746000,1.673,2417,0.9045,NA,NA,1349,0.9345
171.1,1.115,NA,NA,NA,NA,5745000,0.5308,2873,1.001,NA,NA,1221,0.9017
150,1.609,NA,NA,NA,NA,342800000,0.6929,2839,0.8481,NA,NA,1254,0.9418
162.9,1.654,NA,NA,NA,NA,68430000,1.18,3317,0.9367,NA,NA,1329,1.041
152.5,1.156,NA,NA,NA,NA,1021000,1.29,4448,0.5863,NA,NA,1254,0.7931
156.3,1.822,NA,NA,NA,NA,454700,1.234,2537,0.9766,NA,NA,1216,0.8823
138.1,1.614,NA,NA,NA,NA,2028000,0.8864,2393,0.9641,NA,NA,1243,0.927
97.69,1.216,NA,NA,NA,NA,2.26E+09,0.9221,2901,0.8043,NA,NA,1322,0.8664
156.7,1.319,NA,NA,NA,NA,2.67E+09,0.7481,2529,0.9901,NA,NA,1197,1.167
131.3,1.672,NA,NA,NA,NA,73270000,0.6622,3349,1.082,NA,NA,1323,1.129
106.5,1.183,NA,NA,NA,NA,2508000,1.151,3567,1.113,NA,NA,1409,0.9458
108.1,0.7275,NA,NA,NA,NA,15680,1.94,3929,0.624,NA,NA,1317,0.9666
121,1.073,NA,NA,NA,NA,198100,1.528,2912,0.8224,NA,NA,1283,0.8508
169.7,1.402,NA,NA,NA,NA,81400000,1.682,2626,0.7983,NA,NA,1284,1.017
154.3,1.007,NA,NA,NA,NA,3.01E+09,1.921,5222,0.5929,NA,NA,1316,0.994
151.2,1.049,NA,NA,NA,NA,348100,1.458,2871,0.5431,NA,NA,1424,0.9529
134.9,1.008,NA,NA,NA,NA,48800,1.749,2303,0.8624,NA,NA,1355,0.9569
156.6,0.9763,NA,NA,NA,NA,711900000,0.5718,2874,0.6847,NA,NA,1395,1.06
