ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1066,0.6335,NA,NA,NA,NA,10690,1.303,1636,0.8167,NA,NA,519.2,0.587
459.3,0.6006,NA,NA,NA,NA,78420,1.203,1709,0.7703,NA,NA,401,0.5842
435.7,0.5194,NA,NA,NA,NA,23900000,1.59,1341,0.8976,NA,NA,324.8,0.6739
576,0.6968,NA,NA,NA,NA,28830000,1.141,3322,0.7848,NA,NA,442.2,0.6379
784.1,0.5997,NA,NA,NA,NA,29700000,1.981,909.1,0.9145,NA,NA,509.6,0.5665
670.7,0.6665,NA,NA,NA,NA,6233000,1.289,833.5,1.525,NA,NA,369.1,0.5799
668.5,0.6056,NA,NA,NA,NA,729100000,1.242,1035,1.001,NA,NA,451.6,0.5295
745.6,0.5092,NA,NA,NA,NA,37840000,1.961,1704,0.9371,NA,NA,439,0.6174
855,0.5431,NA,NA,NA,NA,5949000,1.594,1081,1.398,NA,NA,440.6,0.5606
1129,0.5329,NA,NA,NA,NA,12400000,1.859,208300,0.8582,NA,NA,494.4,0.5556
1155,0.5124,NA,NA,NA,NA,703100,1.119,801100,1.159,NA,NA,511.9,0.5322
1172,0.5012,NA,NA,NA,NA,6.29E+09,0.6608,52620000,0.5291,NA,NA,547.2,0.5231
1022,0.5539,NA,NA,NA,NA,329300,1.667,1319000,0.7579,NA,NA,507,0.5159
611.6,0.643,NA,NA,NA,NA,7703000,1.728,1186000,0.6311,NA,NA,340,0.6385
628.4,0.5278,NA,NA,NA,NA,2833,1.746,97160,0.8687,NA,NA,379.8,0.5203
520.9,0.6378,NA,NA,NA,NA,4184,1.922,2966,0.8631,NA,NA,401.6,0.5744
949.2,0.5419,NA,NA,NA,NA,5078000,1.272,2526,0.6565,NA,NA,410.4,0.5393
981.2,0.5312,NA,NA,NA,NA,4250,1.627,4087,0.5225,NA,NA,381.6,0.6533
743.5,0.547,NA,NA,NA,NA,3.66E+09,1.744,3018,0.5755,NA,NA,305.6,0.7503
618.8,0.5853,NA,NA,NA,NA,70360000,0.9029,2992,0.5176,NA,NA,405.4,0.6345
594.4,0.5434,NA,NA,NA,NA,19760,1.522,2181,0.5597,NA,NA,374,0.7017
614.5,0.5123,NA,NA,NA,NA,7.37E+09,1.703,3081,0.5884,NA,NA,606.3,0.5281
1025,0.5551,NA,NA,NA,NA,8.08E+09,1.617,2042,0.5995,NA,NA,490.9,0.5506
992.4,0.5118,NA,NA,NA,NA,12180,1.386,1689,0.6969,NA,NA,517.6,0.5294
478.5,0.5583,NA,NA,NA,NA,4561,1.701,4351,0.5559,NA,NA,535.2,0.517
343.2,0.7511,NA,NA,NA,NA,51630000,1.392,5042,0.6444,NA,NA,347.8,0.6589
572.5,0.7742,NA,NA,NA,NA,37770000,1.742,65460,0.5382,NA,NA,655.4,0.5023
369.2,1.006,NA,NA,NA,NA,76440,1.585,4784,0.5114,NA,NA,682.5,0.5032
477.8,0.8329,NA,NA,NA,NA,28860,1.498,4484,0.7522,NA,NA,439.8,0.562
952.7,0.6305,NA,NA,NA,NA,3798000,0.6173,930.6,0.8705,NA,NA,355.8,0.5949
758.9,0.5169,NA,NA,NA,NA,1.85E+09,1.814,4899,0.502,NA,NA,346.6,0.6563
762.4,0.5262,NA,NA,NA,NA,3.32E+09,1.875,4156,0.5083,NA,NA,374.9,0.5981
775.1,0.5102,NA,NA,NA,NA,6674000,0.9339,2037,0.7132,NA,NA,401.7,0.5599
1003,0.5196,NA,NA,NA,NA,167800000,0.9547,1691,0.7148,NA,NA,780.6,0.5315
569.2,0.5207,NA,NA,NA,NA,37780000,1.026,361.4,0.9415,NA,NA,325,0.6742
