ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2413,1.112,NA,NA,NA,NA,2826,1.552,188700000,1.462,NA,NA,893.3,0.9488
73400,0.5561,NA,NA,NA,NA,157300,0.6979,558400000,1.335,NA,NA,1238,0.6397
2275,1.721,NA,NA,NA,NA,13580,1.626,1.32E+09,1.058,NA,NA,1595,0.5844
2748,0.9501,NA,NA,NA,NA,1.12E+08,0.6245,656800,1.774,NA,NA,1362,0.6423
70870,0.5077,NA,NA,NA,NA,19370,0.8287,587500000,0.6815,NA,NA,624.2,0.833
94820,0.5862,NA,NA,NA,NA,5479000,0.9471,5.31E+09,1.253,NA,NA,972.8,0.6808
724.1,1.365,NA,NA,NA,NA,4.26E+09,1.881,11360000,0.9284,NA,NA,613.8,0.8953
1130,1.157,NA,NA,NA,NA,13650,1.318,587300,1.781,NA,NA,587.1,0.844
3096,0.8871,NA,NA,NA,NA,26200,1.912,12880000,1.602,NA,NA,1009,0.625
11920,0.552,NA,NA,NA,NA,9.96E+09,1.086,112300,1.813,NA,NA,690.6,0.826
9672,0.561,NA,NA,NA,NA,1296,1.812,42470000,1.437,NA,NA,704.3,0.8638
1749,0.8349,NA,NA,NA,NA,1336000,0.5645,18860,1.31,NA,NA,853.3,0.741
6802,0.651,NA,NA,NA,NA,279900,0.7368,5.31E+09,0.9872,NA,NA,729.3,0.7615
748.8,1.315,NA,NA,NA,NA,9205,0.8968,642800000,1.158,NA,NA,572.1,0.9744
1397,0.7049,NA,NA,NA,NA,73960,0.6034,12520000,0.9942,NA,NA,738.3,0.8313
4220,0.6006,NA,NA,NA,NA,44410000,1.536,216200000,1.944,NA,NA,584.4,0.7613
2760,0.7735,NA,NA,NA,NA,273900000,1.928,5209000,1.924,NA,NA,1191,0.7115
6997,0.5877,NA,NA,NA,NA,16260000,1.719,2.39E+09,1.743,NA,NA,714.7,0.7591
17120,0.7528,NA,NA,NA,NA,145300000,1.636,3797000,1.574,NA,NA,902.2,0.7775
1295,1.296,NA,NA,NA,NA,136500,1.717,60240000,1.882,NA,NA,1421,0.6271
2267,0.7174,NA,NA,NA,NA,78740000,1.287,607900000,1.807,NA,NA,1409,0.6224
3100,0.6517,NA,NA,NA,NA,4407000,0.5118,5110000,1.888,NA,NA,666.2,0.9038
7885,0.5393,NA,NA,NA,NA,6298,1.332,53130,1.42,NA,NA,579.1,1.011
5022,0.5688,NA,NA,NA,NA,967000,1.717,8383000,0.6417,NA,NA,682.1,0.9482
2437,0.8761,NA,NA,NA,NA,6502000,1.357,319200000,0.6497,NA,NA,573.7,0.9115
2566,0.8652,NA,NA,NA,NA,888900,1.81,3.19E+09,1.787,NA,NA,991,0.7144
13110,0.543,NA,NA,NA,NA,14260,0.8074,57100000,1.329,NA,NA,990.4,0.6796
15020,0.7298,NA,NA,NA,NA,41790,1.188,210800000,1.57,NA,NA,1239,0.6116
9302,0.5556,NA,NA,NA,NA,4046,1.232,5808,1.17,NA,NA,733.8,0.8312
4757,0.6789,NA,NA,NA,NA,27680000,1.789,1005000,0.9894,NA,NA,1515,0.6319
6722,0.6443,NA,NA,NA,NA,22730000,1.203,151900000,1.29,NA,NA,590.3,0.9446
6567,0.5716,NA,NA,NA,NA,27590000,1.135,14840,1.808,NA,NA,613.1,0.8378
5386,0.5465,NA,NA,NA,NA,480300000,1.984,693200,1.057,NA,NA,581.6,0.9406
3867,0.7214,NA,NA,NA,NA,76130000,1.833,344800,0.7046,NA,NA,757.2,0.8688
2916,0.7487,NA,NA,NA,NA,7.45E+09,0.6139,5446000,0.8228,NA,NA,580.1,0.9178
5686,0.5779,NA,NA,NA,NA,1929000,1.444,514700000,1.94,NA,NA,689.5,0.8188
3024,0.6344,NA,NA,NA,NA,104600000,1.083,39450000,1.46,NA,NA,881.6,0.7173
3504,0.6544,NA,NA,NA,NA,929300,1.688,221400000,0.7842,NA,NA,674.2,0.7666
7204,0.5289,NA,NA,NA,NA,6125000,1.867,935900,1.92,NA,NA,880.1,0.7617
7036,0.558,NA,NA,NA,NA,3104,1.545,337100,1.056,NA,NA,664.1,0.818
2864,0.8496,NA,NA,NA,NA,478300,0.8285,175700,1.431,NA,NA,856.4,0.6754
1835,0.9453,NA,NA,NA,NA,3.69E+09,1.729,23550000,1.671,NA,NA,627.2,0.8183
4295,0.6524,NA,NA,NA,NA,5.93E+09,1.111,142900000,1.377,NA,NA,814.5,0.7606
5049,0.6079,NA,NA,NA,NA,4.88E+09,0.971,3620000,0.6752,NA,NA,973.3,0.6463
1474,1.53,NA,NA,NA,NA,2352000,1.213,13980000,0.7984,NA,NA,1549,0.5687
5654,0.6052,NA,NA,NA,NA,437800000,1.231,6337000,0.5351,NA,NA,1504,0.6651
2511,0.7497,NA,NA,NA,NA,106900,1.844,10220000,1.628,NA,NA,1466,0.6536
1592,0.8105,NA,NA,NA,NA,71480,0.8383,847600000,0.9635,NA,NA,1757,0.5261
3346,0.6785,NA,NA,NA,NA,442400,0.9767,87900000,0.6482,NA,NA,1159,0.6425
17620,0.5936,NA,NA,NA,NA,2104000,1.65,132300000,1.848,NA,NA,1055,0.6767
4102,0.692,NA,NA,NA,NA,999900,0.9644,23700000,1.538,NA,NA,1368,0.6098
8084,0.5829,NA,NA,NA,NA,1773000,0.7131,38960000,0.519,NA,NA,1557,0.5511
2527,0.8968,NA,NA,NA,NA,84440000,1.108,819400,1.734,NA,NA,599.7,0.876
1963,1.067,NA,NA,NA,NA,664500,1.749,678800000,0.8252,NA,NA,597.6,0.7953
1163,1.264,NA,NA,NA,NA,2655000,1.611,2.23E+09,0.539,NA,NA,1151,0.657
1955,0.8371,NA,NA,NA,NA,1151,1.994,7.98E+09,0.5426,NA,NA,765.8,0.7994
1166,1.126,NA,NA,NA,NA,2307,1.804,1.43E+09,0.5027,NA,NA,705.7,0.7942
62060,0.5029,NA,NA,NA,NA,16450,1.656,1.43E+09,0.5027,NA,NA,1076,0.6205
28410,0.5651,NA,NA,NA,NA,1863,1.98,4.77E+09,1.03,NA,NA,636.6,0.9172
2193,0.7723,NA,NA,NA,NA,2023,1.406,32050000,0.6371,NA,NA,659.2,0.8434
2958,0.7034,NA,NA,NA,NA,10030000,1.538,232100000,1.478,NA,NA,806.9,0.7284
5523,0.8173,NA,NA,NA,NA,37250000,1.537,31900000,1.534,NA,NA,623.7,0.8228
1577,0.9465,NA,NA,NA,NA,3900000,0.7056,3.32E+09,1.997,NA,NA,1920,0.5613
1508,0.9451,NA,NA,NA,NA,11480000,1.798,6837000,1.585,NA,NA,821,0.7197
1498,0.6367,NA,NA,NA,NA,949400000,1.007,3492000,1.969,NA,NA,655,0.8844
2200,0.7921,NA,NA,NA,NA,3373000,0.9671,17180000,1.342,NA,NA,964.9,0.6656
4988,0.6098,NA,NA,NA,NA,34390,1.199,18450,0.9149,NA,NA,742.8,0.7418
1539,1.73,NA,NA,NA,NA,9005,0.8564,92360,1.118,NA,NA,650.3,1.119
633200,1.901,NA,NA,NA,NA,10010,1.776,48690,1.42,NA,NA,489.7,1.117
