Kmax,Ku,n,halfmax,Vhalf,slope
11.55,0.9442,1.741,290500,-79.43,3.976e-05
12.61,0.9368,1.644,174200,-78.74,7.239e-05
10.94,0.9388,1.627,131500,-75.26,8.319e-05
13.07,0.9737,1.57,118200,-79.36,0.0001106
9.836,0.976,1.665,154100,-77.13,6.383e-05
11.78,1,1.54,87310,-78.67,0.0001349
12.26,0.9695,1.571,108300,-80.15,0.0001132
9.981,0.9887,1.532,68710,-73.53,0.0001453
12.41,0.9337,1.594,130100,-75.68,9.539e-05
12.03,0.9435,1.516,75670,-74.47,0.000159
12.08,0.9462,1.7,241700,-76.83,4.998e-05
11.46,0.2255,1.558,96100,-76.5,0.0001193
10.91,0.9484,1.704,217500,-78.23,5.016e-05
10.92,0.949,1.694,205700,-77.5,5.309e-05
9.919,0.9883,1.562,82080,-74.11,0.0001208
11.53,0.9488,1.686,211600,-77.02,5.449e-05
10.81,0.8827,1.496,59100,-75.58,0.0001829
10.93,0.9443,1.665,167900,-76.42,6.51e-05
12.03,0.9739,1.606,134500,-79.07,8.944e-05
10.84,0.9487,1.698,209300,-77.28,5.179e-05
11.92,0.9491,1.615,138800,-77.25,8.588e-05
13.9,0.947,1.616,163700,-80.68,8.491e-05
11.94,0.9342,1.607,135200,-72.13,8.831e-05
11.91,0.9461,1.59,115100,-76.85,0.0001035
12.63,0.7142,1.728,310200,-76.52,4.072e-05
11.24,0.9222,1.51,71810,-72.64,0.0001565
12.26,0.9448,1.603,132700,-75.38,9.239e-05
11.3,0.9399,1.633,147200,-73.11,7.677e-05
13.91,0.9491,1.609,158800,-78.61,8.759e-05
12.7,0.9486,1.559,106000,-75.67,0.0001198
12.8,0.9368,1.584,124600,-77.93,0.0001027
10.72,0.9503,1.566,90220,-76.16,0.0001188
11.05,0.944,1.569,97840,-73.96,0.0001129
12.31,0.2353,1.628,159400,-76.36,7.723e-05
12.08,0.9705,1.609,136000,-80.1,8.882e-05
11.36,0.9516,1.621,133600,-80.23,8.503e-05
12.31,0.944,1.593,127600,-73.22,9.647e-05
11.87,0.9444,1.696,223600,-79.57,5.309e-05
12.26,0.9467,1.554,99490,-78.21,0.0001232
11.73,0.9443,1.686,206400,-78.74,5.683e-05
11.91,0.9485,1.589,117100,-76.43,0.0001017
10.8,0.9489,1.735,265400,-77.79,4.069e-05
10.42,0.9459,1.602,111100,-74.94,9.379e-05
12.05,0.9496,1.586,115500,-77.86,0.0001043
12.47,0.9415,1.663,191000,-77.91,6.529e-05
11.32,0.9456,1.708,233700,-76.24,4.844e-05
10.22,0.9376,1.62,119100,-74.31,8.581e-05
11.86,0.9453,1.588,113600,-76.26,0.0001044
11.82,0.7396,1.691,219200,-80.41,5.392e-05
13.66,0.2079,1.614,162100,-79.47,8.427e-05
11.86,0.9471,1.632,149000,-78.37,7.96e-05
12.22,0.946,1.672,201200,-77.65,6.074e-05
11.61,1,1.547,90920,-77.34,0.0001277
11.99,0.9442,1.638,163500,-74.3,7.333e-05
10.55,0.8962,1.497,59410,-76.09,0.0001776
11.55,0.9441,1.741,290300,-79.42,3.979e-05
