Kmax,Ku,n,halfmax,Vhalf,slope
3.319,0.0001856,0.8535,598.9,-3.446,0.005542
898600,0.0005047,0.9681,433200000,-5.348,0.002074
406400,0.0005231,0.8583,94120000,-3.145,0.004318
0.9957,0.02376,1.096,357.2,-72.86,0.002788
1.11,0.0001489,1.478,2057,-6.114,0.0005396
0.8654,0.002728,0.7842,71.1,-1.725,0.01217
3.08,0.0001943,0.9075,780.9,-2.784,0.003944
39520,0.00074,0.5526,1719000,-3.97,0.02299
101400,2.759e-05,0.5045,1920000,-160.6,0.05281
1.515,0.0007823,1.08,833.8,-4.11,0.001817
203300,0.0004875,0.9563,89510000,-3.806,0.002271
3287000,0.0006859,0.7735,407100000,-66.1,0.008074
2.295,0.0007849,0.8836,525.4,-4.357,0.004368
126800,0.0009795,0.5549,5850000,-1.852,0.02168
1.321,0.0006354,1.364,3192,-6.077,0.0004138
321300,0.0001622,0.6278,19410000,-5.916,0.01655
0.6917,0.002584,2,9353,-85.05,7.395e-05
2040000,0.0005407,0.8002,354300000,-3.094,0.005758
276200,0.0001635,0.6272,17260000,-3.983,0.016
2551000,0.0007243,0.754,312100000,-10.81,0.008174
436100,0.0001617,0.7502,58710000,-6.913,0.007428
11.42,0.00105,0.645,707.3,-83.13,0.01615
237400,0.000559,0.881,64050000,-2.577,0.003706
8.876,0.03084,0.5,345.5,-6.103,0.02569
1740000,0.0005967,0.8826,430300000,-66.83,0.004044
1.046,0.004572,0.6514,51.73,-11.75,0.02022
0.9238,0.005129,0.812,100,-1.32,0.009238
85270,0.001519,0.5543,3251000,-80.75,0.02623
904000,0.0005587,0.9967,379800000,-8.346,0.00238
280700,0.0007111,0.6761,27080000,-7.319,0.01037
2.35,0.0006362,0.7994,302.4,-5.702,0.007771
1.424,0.0009223,0.983,265.8,-74.95,0.005357
1.894,0.8785,0.7185,144.1,-147.9,0.01314
0.6463,0.002758,1.979,12750,-3.635,5.069e-05
5.306,0.001059,0.6595,403.5,-1.557,0.01315
1.712,0.001072,1.095,825.6,-82.88,0.002074
2.19,0.0008808,0.8113,237.4,-78.23,0.009225
938300,0.0005452,1.062,606600000,-12.02,0.001547
1.507,0.0006163,1.145,1232,-5.489,0.001223
1.535,0.0005731,1.052,638.2,-7.185,0.002405
0.7122,0.001714,1.415,785.9,-61.8,0.0009062
54440,0.000176,0.7304,6427000,-5.7,0.008471
2.787,0.000224,1.059,1654,-6.216,0.001685
907900,0.0006438,0.7866,120500000,-63.6,0.007534
3.36,0.0002185,0.9496,857.1,-1,0.00392
0.6513,0.0008432,2,6998,-18.58,9.307e-05
924000,0.0005314,1.11,841800000,-13.84,0.001098
2012000,0.0005444,0.9315,768100000,-3.851,0.002619
27.06,0.0008549,0.694,2784,-7.27,0.00972
1.159,0.0001621,1.072,357.2,-1.076,0.003245
287800,0.001176,0.6168,16340000,-88.49,0.01761
1002000,0.0005989,0.8583,203200000,-71.57,0.004931
1.533,0.000632,1.099,895.3,-6.136,0.001712
1.191,0.01705,0.9041,225.2,-67.48,0.005289
4.952,0.0009365,0.6327,293.6,-3.79,0.01687
