Kmax,Ku,n,halfmax,Vhalf,slope
2647000,0.0005798,0.5,24570000,-82.53,0.1077
1746000,0.0006624,0.5,15310000,-166.6,0.114
2331000,0.0004634,0.5,22330000,-89.3,0.1044
4501000,0.0004844,0.5,43780000,-92.29,0.1028
9581000,0.0007362,0.5601,119100000,-174.3,0.08045
2132000,0.0004901,0.5,19470000,-85.45,0.1095
899100,0.00108,0.5,8113000,-153.6,0.1108
169900,0.0006469,0.5,1466000,-180.9,0.1159
799200,0.0007095,0.5533,8897000,-175.8,0.08983
5224000,0.0006985,0.5,44360000,-89.64,0.1178
1699000,0.0006984,0.5,15890000,-104.9,0.1069
1674000,0.0007038,0.5,16080000,-155.8,0.1041
365000,0.0008078,0.5628,4074000,-171.8,0.08959
4276000,0.0005673,0.5,42920000,-94.61,0.09963
456100,0.00113,0.5,4512000,-156.5,0.1011
1094000,0.0004192,0.5,9786000,-104.6,0.1118
1250000,0.0003744,0.6027,19510000,-85.42,0.06407
2354000,0.0006177,0.5609,31030000,-157.3,0.07586
1096000,0.0006713,0.5777,14420000,-181.5,0.07601
1224000,0.0004324,0.5102,11880000,-169.3,0.103
1198000,0.0007919,0.5,10430000,-171.8,0.1149
2965000,0.000684,0.5,29280000,-167,0.1013
3597000,0.0006746,0.5,34010000,-105.3,0.1058
1255000,0.0006303,0.5021,11330000,-170.9,0.1108
2480000,0.0005442,0.5,23110000,-79.39,0.1073
3.701,0.001168,0.5,24.6,-92.61,0.1504
2579000,0.0006312,0.5,26080000,-79.74,0.09889
130100,0.0004423,0.5972,1796000,-162.2,0.07244
3340000,0.0005252,0.5,27960000,-153.3,0.1195
1726000,0.0005963,0.5,17500000,-82.56,0.09863
155700,0.983,0.5,1486000,-95.27,0.1048
1233000,0.0004335,0.5589,15200000,-98.57,0.08112
4956000,0.0007374,0.5,48820000,-140.2,0.1015
3394000,0.0003998,0.5,32470000,-88.6,0.1045
8074000,0.0007371,0.5686,99390000,-187.9,0.08124
1869000,0.0004022,0.5,17770000,-81.61,0.1052
1162000,0.0006538,0.5,11730000,-84.68,0.09906
1015000,0.0004696,0.5571,11740000,-90.38,0.08646
6053000,0.0005815,0.5,56640000,-87.45,0.1069
3045000,0.0005055,0.5,27620000,-86.65,0.1102
8037000,0.001048,0.5072,71810000,-162,0.1119
34320000,0.0008389,0.565,3.95e+08,-171,0.08689
6602000,0.001057,0.5,57220000,-173.3,0.1154
1578000,0.0006782,0.5,14050000,-162.8,0.1123
4273000,0.001112,0.5671,54570000,-167.6,0.0783
2709000,0.0005412,0.5,23160000,-196.1,0.117
2900000,0.0005793,0.5,28230000,-102.5,0.1027
8535000,0.0008115,0.5246,86680000,-174.9,0.09847
1598000,0.0009478,0.5,14490000,-78.75,0.1103
1413000,0.0003993,0.5,14680000,-79.68,0.09625
2515000,0.0006086,0.5369,27980000,-176.1,0.08989
632100,0.0007983,0.5,5286000,-191.1,0.1196
2041000,0.0007235,0.5,19370000,-91.34,0.1054
4700000,0.0005966,0.5232,46170000,-167.7,0.1018
6667000,0.0004622,0.5,60930000,-82.03,0.1094
1896000,0.0005997,0.5255,19730000,-167.5,0.0961
1724000,0.0007434,0.5,15910000,-190.9,0.1084
3581000,0.0008504,0.5,31900000,-91.16,0.1123
9823000,0.0007356,0.5318,103400000,-167.3,0.095
1308000,0.0008266,0.5322,12480000,-185.5,0.1048
1616000,0.0004873,0.5,15030000,-86.98,0.1075
1445000,0.0003592,0.5,12240000,-127.9,0.1181
971100,0.0005782,0.5217,1e+07,-87.7,0.09711
2109000,0.0005866,0.5491,23100000,-195,0.0913
4430000,0.0005343,0.5228,43160000,-96.43,0.1026
4232000,0.0005301,0.5099,40530000,-82.07,0.1044
1872000,0.0004121,0.5,16430000,-131.3,0.1139
1620000,0.0007063,0.5507,17550000,-103,0.09231
2132000,0.0004651,0.5,20490000,-181.4,0.1041
496100,0.0007279,0.5392,5776000,-191.9,0.08589
1e+07,0.0006486,0.5035,87720000,-179.2,0.114
1067000,0.0007333,0.5,9356000,-176.4,0.114
2640000,0.0003832,0.5,27250000,-80.67,0.09688
5273000,0.00119,0.5004,46270000,-147.9,0.114
427400,0.0005268,0.5,3868000,-161.9,0.1105
1255000,0.0009572,0.513,11500000,-170.3,0.1091
1513000,0.0004577,0.5415,18810000,-92.68,0.08044
2557000,0.0007645,0.5,25360000,-173.6,0.1008
2865000,0.0007024,0.5,27690000,-170.1,0.1035
1163000,0.0008315,0.5553,13480000,-178.2,0.08628
1151000,0.0004313,0.57,14920000,-84.12,0.07714
2252000,0.0004397,0.5437,24260000,-152.1,0.09283
286200,0.0007478,0.6287,4366000,-165.3,0.06555
554600,0.0004591,0.5593,7028000,-92.09,0.07891
2639000,0.0009777,0.5368,25040000,-158,0.1054
4011000,0.0004736,0.5019,39650000,-87.44,0.1012
1924000,0.0005227,0.5096,18580000,-89.32,0.1036
5190000,0.001133,0.5,52450000,-93.82,0.09895
300400,0.0004776,0.5195,2999000,-162.1,0.1002
1695000,0.0005582,0.5358,18580000,-115.5,0.09123
3200000,0.0005832,0.5,29990000,-79.1,0.1067
7596000,0.0004978,0.5319,86850000,-164.3,0.08746
1456000,0.0005246,0.5215,16010000,-175.2,0.09094
3343000,0.0004781,0.5,30450000,-85.38,0.1098
1247000,0.0006633,0.5852,18450000,-90.83,0.06759
5570000,0.0006297,0.5773,73640000,-180.5,0.07564
341900,0.0005385,0.5769,4414000,-156.1,0.07746
1974000,0.0007909,0.5,17290000,-87.48,0.1142
4892000,0.00042,0.5,46040000,-87.94,0.1063
1387000,0.0005667,0.5,14410000,-81.82,0.09625
1969000,0.0004127,0.5025,17320000,-130.5,0.1137
1595000,0.0007495,0.5,13960000,-135.9,0.1143
4211000,0.0005271,0.5198,45490000,-92.71,0.09257
9170000,0.0008853,0.5664,105400000,-156.3,0.087
1461000,0.0004847,0.576,18950000,-166.2,0.0771
356800,0.0003678,0.6286,5817000,-140.6,0.06134
2335000,0.0006318,0.5,21810000,-133.8,0.1071
4141000,0.0007953,0.5,41620000,-159.4,0.0995
