Kmax,Ku,n,halfmax,Vhalf,slope
0.2752,0.9942,2,24000,-66,1.147e-05
0.2671,0.7411,0.7157,61.45,-38.68,0.004347
0.3115,0.991,2,61960,-76.67,5.027e-06
0.2588,0.9999,2,22760,-46.89,1.137e-05
0.2755,0.9982,2,23240,-73.94,1.185e-05
0.2682,0.9994,2,39540,-37.61,6.783e-06
0.275,0.9999,0.8295,50.83,-38.04,0.00541
0.2434,0.9992,2,34120,-43.69,7.134e-06
0.2888,0.999,2,57300,-41.38,5.04e-06
0.2572,0.9999,2,36970,-63.65,6.957e-06
0.2394,0.9453,1.186,267.9,-35.78,0.0008936
0.2728,0.978,0.9501,156.3,-31.02,0.001745
0.2298,0.9449,2,77940,-5.688,2.948e-06
0.2003,0.7368,2,31590,-1.004,6.341e-06
0.2157,0.9387,2,57120,-1.002,3.776e-06
85970000,1.007e-09,0.6654,3212000,-1.428,26.77
0.2735,0.9975,2,27110,-54.24,1.009e-05
0.2399,0.9912,1.166,368,-38.97,0.0006519
0.2944,0.9878,0.7622,80.82,-44.9,0.003643
0.238,0.9989,2,58430,-26.2,4.073e-06
0.2602,0.5309,0.9798,123.5,-46.58,0.002107
0.249,0.9205,1.665,3230,-71.72,7.709e-05
0.2626,0.9952,0.8554,59.46,-30.68,0.004416
0.2506,0.9999,1.365,692.4,-36.88,0.0003619
0.2261,0.9351,0.9459,102.4,-2.886,0.002208
0.2673,0.9881,1.075,283,-32.19,0.0009445
0.2679,0.9983,2,61280,-61.77,4.372e-06
0.2321,0.9473,1.667,3259,-42.92,7.122e-05
0.3261,0.9725,0.7268,79.12,-33.09,0.004122
0.2121,0.9421,2,37030,-1.092,5.728e-06
0.2582,0.9612,0.7916,53.79,-40.29,0.0048
0.2867,0.9999,2,27450,-56.84,1.044e-05
0.2571,0.9439,0.87,107.4,-18.57,0.002394
0.3265,0.9747,0.7078,48.73,-73.3,0.0067
0.2425,0.9999,2,33630,-40.17,7.211e-06
0.2726,0.9946,0.7915,62.51,-31.06,0.004361
0.2848,0.9974,2,40310,-37.47,7.065e-06
0.3186,0.5052,0.8108,96.51,-77,0.003301
0.2246,0.9452,1.639,2486,-30.02,9.035e-05
0.2549,0.9996,1.158,168.1,-56.33,0.001516
85970000,1.007e-09,0.6654,3212000,-1.428,26.77
0.2399,0.9668,1.548,3154,-37.46,7.606e-05
0.239,0.9055,1.995,56210,-41.38,4.252e-06
0.2514,0.7812,1.121,329.7,-38.63,0.0007625
0.2568,0.9999,2,57990,-32.34,4.428e-06
0.2551,0.9666,1.059,143.8,-78.44,0.001774
0.2173,0.9618,1.458,1040,-38.68,0.0002089
0.2702,0.6692,2,90120,-36.55,2.998e-06
0.265,1,2,24750,-43.91,1.071e-05
0.3715,0.9951,0.7147,92.89,-81.47,0.003999
0.2579,0.9938,2,22350,-44.51,1.154e-05
0.2543,0.7832,1.054,233.5,-38.27,0.001089
0.2634,0.9982,1.991,22950,-66.24,1.148e-05
0.2665,0.9999,0.6895,40.03,-30.81,0.006658
0.2993,0.2587,2,94030,-141.8,3.183e-06
0.2522,0.9797,1.119,323.8,-44.45,0.0007789
0.2669,0.9997,1.391,805.7,-40.39,0.0003313
0.2332,0.9083,1.999,23810,-6.522,9.794e-06
0.2718,0.8273,0.8991,77.23,-141.1,0.003519
0.2504,0.7737,2,61930,-37.26,4.043e-06
0.3747,0.9467,0.5,31.39,-36.28,0.01194
0.2418,0.9036,2,60900,-6.542,3.97e-06
0.2002,0.7277,1.999,51510,-1.894,3.887e-06
0.2518,0.9999,1.298,477.8,-42.29,0.000527
0.1954,0.9791,1.204,389,-1.001,0.0005023
0.5236,0.899,0.581,95.33,-36.24,0.005492
0.2462,0.9577,1.648,5942,-35.86,4.143e-05
0.3024,0.944,1.319,1631,-80.39,0.0001854
0.2417,0.955,1.095,255.2,-31.92,0.0009471
0.3074,0.9903,0.7632,112,-27.87,0.002745
0.3409,0.818,0.5,21.02,-152.4,0.01622
0.2633,0.7316,0.7063,62.28,-2.002,0.004228
0.2391,0.9212,1.147,439.7,-43.07,0.0005438
0.2521,0.9685,1.125,461.6,-41.88,0.0005461
0.2843,0.9997,2,86100,-44.61,3.302e-06
0.2393,0.9627,1.547,3131,-28.46,7.643e-05
0.3395,0.9333,0.5859,33.67,-71.51,0.01008
0.2462,0.9577,1.648,5942,-35.86,4.143e-05
0.2647,1,2,54130,-36.75,4.89e-06
0.2305,0.9664,1.197,184.9,-139,0.001247
0.2609,0.9522,0.8959,71.74,-42.85,0.003637
0.9808,0.7955,0.5001,110.6,-161.7,0.008868
0.2504,0.6144,0.7533,36.81,-54.58,0.006802
0.2504,0.7737,2,61930,-37.26,4.043e-06
0.2394,0.9453,1.186,267.9,-35.78,0.0008936
0.2774,0.9687,0.9103,115.8,-80.04,0.002396
0.284,0.7082,1.877,17720,-118.3,1.603e-05
0.2839,0.8698,0.9435,177.5,-145,0.001599
0.2329,0.7643,0.8588,69.46,-37.13,0.003353
