Kmax,Ku,n,halfmax,Vhalf,slope
2.099,1.102e-05,1.938,15050,-104.5,0.0001395
1.828,0.000128,1.446,5887,-1,0.0003105
2.255,1.24e-05,1.434,695.2,-94.91,0.003244
2.485,7.317e-05,1.103,1149,-1,0.002163
3.314,1.981e-05,0.8112,165.1,-103.3,0.02007
1.692,1.829e-05,0.9668,106.3,-135,0.01592
1.31,2.281e-05,2,3359,-156.4,0.00039
1.74,1.583e-05,1.601,4398,-143.1,0.0003956
2.258,8.662e-06,2,13080,-125.9,0.0001726
44.45,1.592e-05,0.7281,2524,-184.6,0.01761
1.482,3.095e-05,1.026,177.9,-164.7,0.008331
2.65,2.144e-05,0.9678,275.4,-151,0.009622
4.748,2.468e-05,0.7169,175.1,-139.7,0.02712
151.8,2.336e-05,0.6594,5470,-146.9,0.02775
2.231,1.155e-05,2,10400,-129.7,0.0002145
1.124,3.456e-05,1.092,79.31,-164.3,0.01417
3.412,5.918e-05,0.9876,962.9,-64.73,0.003543
1.304,0.0001338,1.41,2070,-1,0.00063
1.604,1.986e-05,1.362,876.4,-145.5,0.00183
1.487,2.244e-05,2,5178,-124.4,0.0002872
6052,8.538e-05,0.8901,1291000,-1,0.004688
2.233,1.14e-05,2,10230,-158.1,0.0002183
1.015,6.285e-05,1.596,1638,-1.001,0.0006197
1.574,2.743e-05,1.774,13420,-1.002,0.0001173
1.705,1.555e-05,2,6086,-120.1,0.0002802
1.338,2.692e-05,1.752,3063,-163.7,0.0004368
3.567,1.248e-05,1.072,615.1,-114.3,0.005799
138800,0.0001218,1.062,91500000,-1,0.001517
1.148,3.207e-05,2,8880,-1.012,0.0001293
2.036,9.533e-06,1.864,3495,-108,0.0005825
1.322,2.832e-05,1.317,295.6,-158.3,0.004472
2.115,5.225e-05,1.42,5624,-1.001,0.0003761
91580,1.987e-05,0.8381,9568000,-145.7,0.009571
1.037,2.484e-05,2,5167,-1.017,0.0002007
1.473,0.0001329,1.277,1315,-1.001,0.00112
1.666,0.0001528,1.243,1432,-1,0.001163
1747000,2.103e-05,0.6659,67070000,-140.1,0.02605
2.157,9.131e-06,2,9568,-111.3,0.0002254
13.64,2.982e-05,0.6031,435,-168,0.03136
1.227,5.768e-05,2,42250,-66.24,2.904e-05
4.61,1.034e-05,1.213,2072,-124.4,0.002225
2.07,0.0001525,1.124,1078,-1,0.00192
1.316,3.14e-05,0.9595,75.27,-145.7,0.01748
2.165,1.009e-05,1.3,353,-116.9,0.006133
1.28,2.054e-05,2,6382,-175.5,0.0002006
2.289,1.124e-05,2,12460,-95.52,0.0001837
73380,0.000125,0.8573,14040000,-1,0.005226
1.299,2.109e-05,2,4693,-162.1,0.0002768
1.694,2.336e-05,1.836,11110,-160.5,0.0001525
9.751,0.0001752,0.8547,1636,-1.002,0.00596
9.733,0.0001547,0.8078,1234,-1,0.007887
1.426,2.576e-05,2,12860,-43.73,0.0001109
2.682,3.002e-05,0.7848,165.4,-175,0.01622
1.199,0.0001678,1.785,14060,-1,8.528e-05
1.471,1.732e-05,2,15830,-129.6,9.292e-05
1.802,1.482e-05,2,9066,-143.8,0.0001988
1.453,1.92e-05,2,17990,-139.6,8.077e-05
1.134,0.0001706,2,38610,-1.001,2.937e-05
1.408,2.126e-05,2,4168,-141.3,0.0003378
1.61,1.193e-05,2,6858,-99.1,0.0002348
3.88,1.048e-05,1.502,5590,-98.72,0.0006941
1.656,1.565e-05,2,4656,-132.2,0.0003557
1.49,3.125e-05,1.158,377.1,-156.8,0.003951
1.134,0.0001706,2,38610,-1.001,2.937e-05
1.4,1.983e-05,1.998,14360,-152,9.749e-05
1.153,3.377e-05,2,11500,-179.1,0.0001003
1.626,1.467e-05,2,5029,-119.3,0.0003233
1.407,2.969e-05,2,48360,-145.7,2.909e-05
1.297,6.779e-05,1.23,654,-56.97,0.001983
19.45,5.116e-05,0.7801,1829,-1.001,0.01063
1.591,2.112e-05,1.052,156.8,-150.9,0.01015
116200,1.883e-05,0.6113,3159000,-144.5,0.03678
1.498,1.31e-05,2,3809,-130.8,0.0003933
1.386,2.628e-05,2,11190,-46.03,0.0001239
2.378,1.146e-05,2,48000,-144.3,4.954e-05
1.572,1.823e-05,2,32470,-177.5,4.841e-05
1.192,3.114e-05,1.999,16820,-60.94,7.087e-05
0.9604,9.848e-05,1.325,411.7,-1,0.002333
2.377,1.094e-05,2,14320,-111.9,0.000166
11.95,1.825e-05,0.8046,879.4,-154.3,0.01359
2.255,1.24e-05,1.434,695.2,-94.91,0.003244
2.427,1.152e-05,1.48,1206,-126.2,0.002012
184.4,2.869e-05,0.6913,10610,-160,0.01738
1.638,1.17e-05,2,9153,-119.2,0.000179
1.659,2.133e-05,1.883,11560,-114.5,0.0001435
3.786,1.357e-05,0.8657,215.6,-108.3,0.01756
1.792,2.187e-05,1.223,625.5,-143,0.002865
1.386,2.025e-05,2,4668,-142.9,0.0002969
1254,1.993e-05,0.5,20290,-140.5,0.0618
1.591,1.986e-05,1.38,935.6,-150.3,0.001701
1.619,2.031e-05,1.332,767.4,-139.4,0.00211
1.38,8.682e-05,1.683,10020,-1,0.0001377
1.34,3.133e-05,0.9274,67.92,-155.6,0.01973
2.079,9.339e-06,2,7695,-149.3,0.0002702
1.539,2.054e-05,2,9092,-129.1,0.0001693
1.235,3.329e-05,2,18110,-147.8,6.819e-05
1.228,7.098e-05,2,39310,-1.003,3.124e-05
2.559,0.005179,1.086,1292,-1,0.001981
1.145,3.324e-05,1.745,2977,-1.001,0.0003846
2.184,3.262e-05,1.002,422.4,-155.8,0.00517
1.457,1.32e-05,1.654,760.9,-137.5,0.001915
18.33,1.114e-05,1.062,5164,-123.9,0.00355
1.081,5.565e-05,1.126,155.4,-1.001,0.006956
