Kmax,Ku,n,halfmax,Vhalf,slope
0.2461,0.9,2,123500,-6.674,1.993e-06
0.2139,0.9709,1.896,12630,-27.23,1.694e-05
0.2417,0.935,2,38520,-53.24,6.275e-06
0.2483,1,2,47620,-43.35,5.214e-06
0.2279,0.7789,1.81,29650,-31.75,7.686e-06
0.319,0.4774,0.9789,634.2,-63.93,0.000503
0.2433,0.9999,2,47030,-47.18,5.173e-06
0.2425,0.9962,2,118600,-34.23,2.045e-06
0.2622,0.7803,1.06,514.7,-36.51,0.0005094
0.2754,0.9999,2,45580,-42.66,6.042e-06
0.3082,0.9314,0.8714,319.1,-36.71,0.0009658
0.2807,1,2,44840,-35.42,6.26e-06
0.2157,0.9995,2,28320,-23.26,7.617e-06
0.2362,0.881,1.814,10320,-36.13,2.289e-05
0.2403,1,1.77,21040,-37.49,1.142e-05
0.252,0.9009,1.671,13380,-49.05,1.883e-05
0.2397,0.9649,1.474,2580,-37.47,9.291e-05
0.1979,0.72,1.228,759.2,-1.009,0.0002607
0.2299,0.9999,1.869,32960,-26.64,6.975e-06
0.272,0.9998,2,36280,-42.32,7.497e-06
0.3053,0.904,0.8849,265.3,-41.71,0.001151
0.2488,0.485,2,54880,-65.23,4.534e-06
0.2257,0.9565,2,42940,-37.48,5.256e-06
0.2091,0.9754,1.755,10890,-25.84,1.92e-05
0.272,0.9974,2,82490,-37.64,3.297e-06
0.4694,0.4767,0.5001,42.99,-78.19,0.01092
0.2174,0.9995,2,27930,-34.26,7.784e-06
0.2692,0.9959,2,31100,-38.37,8.656e-06
0.2539,0.9999,2,55900,-56.24,4.542e-06
0.2629,0.8219,1.798,15000,-147.5,1.753e-05
0.2982,0.4948,0.9905,363.4,-76.07,0.0008206
0.2432,0.5991,2,51350,-72.44,4.736e-06
0.2449,0.9525,1.62,5033,-71.09,4.866e-05
0.2543,0.9364,2,73350,-32.03,3.467e-06
0.2514,0.9606,1.746,18480,-66.87,1.36e-05
0.2929,0.9965,2,40320,-71.01,7.264e-06
0.2661,0.9474,2,33170,-78.24,8.022e-06
0.1959,0.2395,1.998,66340,-1.01,2.953e-06
0.1986,0.7459,2,23200,-42.37,8.56e-06
0.1939,0.7359,1.87,32640,-1.211,5.941e-06
0.2564,0.7846,0.9566,290.4,-39.33,0.0008829
0.2405,0.9745,1.128,494.9,-40.51,0.000486
0.2819,0.8102,1.236,804.2,-138.6,0.0003505
0.2443,0.9916,0.8791,119.6,-39.05,0.002043
0.2625,0.4722,1.46,3101,-75.22,8.465e-05
0.2102,0.9714,1.905,12590,-39.94,1.67e-05
0.2035,0.9712,2,18400,-34.9,1.106e-05
0.2532,1,1.342,1537,-42.14,0.0001647
0.2703,0.9998,2,75630,-37.73,3.574e-06
0.2718,0.9993,2,82440,-37.54,3.297e-06
0.2465,0.9607,2,35540,-68.76,6.936e-06
0.2261,0.9847,1.681,3759,-56.8,6.015e-05
0.2754,0.9999,2,45580,-42.66,6.042e-06
0.3855,0.8532,0.9361,530.6,-136.8,0.0007265
0.2108,0.9424,2,48610,-1.022,4.337e-06
0.2451,0.904,2,122100,-6.394,2.007e-06
0.2587,0.9996,1.644,6914,-42.86,3.742e-05
0.2832,0.9978,2,51220,-41.39,5.529e-06
0.3218,0.982,0.7693,152.7,-37.96,0.002107
0.2504,1,1.7,8620,-42.55,2.905e-05
0.2669,0.7702,1.107,1035,-47.76,0.0002579
0.2651,0.9999,2,47240,-37.96,5.612e-06
0.3379,0.9332,0.7801,211.7,-36.51,0.001596
0.1871,0.7258,2,67440,-1.002,2.774e-06
0.2288,0.9159,1.927,16620,-42.45,1.377e-05
0.2329,0.9423,1.945,18780,-31.75,1.24e-05
0.3016,0.9952,1.239,1256,-79.24,0.0002401
0.5058,0.8545,0.6494,155.9,-162.6,0.003244
0.2206,0.96,1.992,47960,-35.34,4.6e-06
0.2612,0.9347,2,78020,-30.96,3.348e-06
0.2841,0.9897,2,59150,-68,4.803e-06
0.219,0.9955,2,32520,-37.75,6.734e-06
0.7306,0.979,0.5001,105.3,-74.89,0.006938
0.2019,0.746,2,72680,-1.001,2.778e-06
0.2333,0.9739,2,52540,-26.33,4.44e-06
0.251,0.9998,1.983,27730,-41.44,9.052e-06
0.181,0.7161,2,20600,-40.38,8.786e-06
5.765,0.9971,0.5,1040,-77.31,0.005543
0.2968,0.9926,2,87540,-44.79,3.39e-06
0.2778,0.9931,2,77060,-62.3,3.605e-06
0.2489,0.7747,1.758,21700,-38.69,1.147e-05
0.2313,0.9456,2,30280,-35.7,7.639e-06
0.2337,0.9996,2,35560,-42.29,6.572e-06
0.2921,0.9137,2,33260,-86.8,8.782e-06
0.2608,0.8236,2,46760,-115.9,5.577e-06
0.2141,0.7268,1.407,2728,-2.436,7.848e-05
0.2915,0.7746,2,38530,-142.3,7.566e-06
0.2453,0.9999,2,70090,-36.13,3.5e-06
0.4428,0.806,0.6974,171.6,-141.2,0.00258
0.1975,0.7399,2,45520,-1.834,4.339e-06
0.2779,0.7651,2,51050,-149.1,5.444e-06
0.2346,0.9549,2,52320,-43.07,4.484e-06
0.2551,1,2,52080,-42.84,4.898e-06
