ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7257,0.6179,NA,NA,NA,NA,160500000,0.8752,173700,0.5014,NA,NA,426.4,0.8722
5319,0.5493,NA,NA,NA,NA,185600000,1.481,37680,0.8156,NA,NA,434.3,0.7771
2212,0.5555,NA,NA,NA,NA,16660000,0.7064,65270,0.5518,NA,NA,433.6,0.6428
5124,0.9186,NA,NA,NA,NA,1.13E+09,0.6957,60600,0.5979,NA,NA,301.2,0.7219
4012,0.7535,NA,NA,NA,NA,9.77E+09,1.104,32240,0.9824,NA,NA,378.8,0.6737
3207,0.7295,NA,NA,NA,NA,4.54E+09,1.038,21900,1.661,NA,NA,421.1,0.5823
4726,0.5668,NA,NA,NA,NA,95450000,1.538,40960,1.676,NA,NA,519.9,0.869
3847,0.527,NA,NA,NA,NA,1.09E+08,1.89,83180,0.524,NA,NA,427.6,0.7713
4653,0.5417,NA,NA,NA,NA,81120000,1.784,16120,1.974,NA,NA,427.2,0.9043
5796,0.5634,NA,NA,NA,NA,280600000,0.9417,17610,1.768,NA,NA,397.9,0.683
3887,0.5411,NA,NA,NA,NA,228800000,1.304,18840,1.731,NA,NA,510.6,0.7764
4238,0.5165,NA,NA,NA,NA,3.18E+09,1.928,19920,1.666,NA,NA,560.8,0.7411
4055,0.5349,NA,NA,NA,NA,1.03E+08,1.406,16200,1.857,NA,NA,546.2,0.636
7129,0.5456,NA,NA,NA,NA,207900000,1.375,20640,1.758,NA,NA,460.6,0.9334
10280,0.5236,NA,NA,NA,NA,41710000,1.075,71320,1.137,NA,NA,481.4,0.8461
7964,0.5325,NA,NA,NA,NA,704500,1.057,37290,1.371,NA,NA,593.8,0.845
4353,0.5187,NA,NA,NA,NA,202800,1.78,1586000,1.072,NA,NA,652.8,0.9472
6253,0.5437,NA,NA,NA,NA,4.08E+09,1.225,3020000,0.7446,NA,NA,329.8,0.5703
5385,0.5218,NA,NA,NA,NA,2.09E+09,1.137,297900,0.8182,NA,NA,444.8,0.8028
4334,0.6204,NA,NA,NA,NA,5.18E+09,1.233,226400,0.6414,NA,NA,576.1,0.778
5613,0.5427,NA,NA,NA,NA,2.24E+09,1.986,139700,0.538,NA,NA,459.8,0.6518
5983,0.532,NA,NA,NA,NA,171200000,0.6599,177200,0.5238,NA,NA,557.8,0.7664
7251,0.5375,NA,NA,NA,NA,924100000,1.86,36930,0.7277,NA,NA,479,0.6798
7503,0.5833,NA,NA,NA,NA,11670000,1.378,45870,0.6669,NA,NA,332.7,0.593
8631,0.5123,NA,NA,NA,NA,54890000,1.846,84800,0.5137,NA,NA,333.3,0.6283
5163,0.5967,NA,NA,NA,NA,121600000,1.983,98040,0.5988,NA,NA,362,0.7334
4320,0.6255,NA,NA,NA,NA,5464000,1.674,78750,0.576,NA,NA,536.7,0.6395
7289,0.5991,NA,NA,NA,NA,65530000,1.274,64970,0.5336,NA,NA,469.5,0.7103
4387,0.7191,NA,NA,NA,NA,642400000,0.9564,70960,0.6028,NA,NA,453,0.773
7472,0.5824,NA,NA,NA,NA,170400000,1.702,116300,0.6069,NA,NA,549.2,0.6632
2536,0.7491,NA,NA,NA,NA,386700000,1.323,93200,0.5058,NA,NA,581.4,0.7533
5448,0.5157,NA,NA,NA,NA,334200000,1.868,71210,0.5775,NA,NA,462.7,0.6573
5645,0.5323,NA,NA,NA,NA,358500000,1.897,93860,0.5152,NA,NA,499.8,0.7026
2286,0.6481,NA,NA,NA,NA,339900000,0.6999,81210,0.634,NA,NA,515.3,0.5937
4173,0.7388,NA,NA,NA,NA,82360000,1.865,115000,0.5207,NA,NA,789,0.9751
6886,0.5979,NA,NA,NA,NA,390100000,1.346,91120,0.5102,NA,NA,405.5,0.6066
9016,0.6044,NA,NA,NA,NA,867300,1.592,75210,0.5722,NA,NA,615.6,0.7576
3913,0.658,NA,NA,NA,NA,25480000,1.118,58230,0.7725,NA,NA,611,0.8075
4569,0.5062,NA,NA,NA,NA,360900000,0.9394,23700,1.067,NA,NA,433.9,0.6467
5065,0.5795,NA,NA,NA,NA,11900000,1.645,27590,0.948,NA,NA,452.2,0.6989
2885,0.5425,NA,NA,NA,NA,1508000,1.8,82650,0.6844,NA,NA,724.5,0.6189
4327,0.5262,NA,NA,NA,NA,6224000,0.9803,102300,0.6097,NA,NA,461.6,0.8539
4203,0.5498,NA,NA,NA,NA,2.91E+09,0.6651,63700,0.5522,NA,NA,626.9,0.7654
4986,0.5118,NA,NA,NA,NA,2695000,1.737,74870,0.5924,NA,NA,466.8,0.7638
5569,0.6033,NA,NA,NA,NA,37530000,0.8276,41690,0.7926,NA,NA,304.9,0.7385
9034,0.5418,NA,NA,NA,NA,4804000,1.21,102600,0.5418,NA,NA,486.1,1.047
4656,0.528,NA,NA,NA,NA,14550000,1.477,24890,0.9017,NA,NA,547.4,1.225
4819,0.518,NA,NA,NA,NA,11830000,1.246,39650,0.5262,NA,NA,442.4,0.7542
4397,0.5047,NA,NA,NA,NA,4.67E+09,0.8663,14480,0.9175,NA,NA,357.4,0.7238
6444,0.669,NA,NA,NA,NA,4.59E+09,1.81,99550,0.735,NA,NA,522.6,1.121
4400,0.5254,NA,NA,NA,NA,302700000,1.941,15210,1.106,NA,NA,381.7,0.6096
4707,0.5085,NA,NA,NA,NA,8.85E+09,1.494,35050,0.7244,NA,NA,372.4,0.6975
4953,0.5423,NA,NA,NA,NA,92980000,1.431,142800,0.5418,NA,NA,366.6,0.7943
5056,0.5542,NA,NA,NA,NA,5.03E+09,1.445,91740,0.5575,NA,NA,394.9,0.7318
