ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
8001,0.5451,NA,NA,NA,NA,11560,0.7399,1349,1.159,NA,NA,723.5,1.226
7022,0.5099,NA,NA,NA,NA,12220,0.7077,1182,1.065,NA,NA,693.5,1.03
7805,0.535,NA,NA,NA,NA,16610,0.6239,1345,1.135,NA,NA,787.9,1.076
5445,0.6413,NA,NA,NA,NA,18650,0.588,1291,0.7041,NA,NA,710.6,1.405
8352,0.5485,NA,NA,NA,NA,9288,0.7799,1494,0.7322,NA,NA,680.9,1.138
8446,0.5174,NA,NA,NA,NA,36270,0.5613,1652,1.108,NA,NA,747.1,1.044
8714,0.5002,NA,NA,NA,NA,7152,1.2,1098,1.132,NA,NA,699.8,1.254
12570,0.5009,NA,NA,NA,NA,5578,1.494,962.6,1.104,NA,NA,642,1.219
6503,0.5394,NA,NA,NA,NA,7207,1.265,1465,1.799,NA,NA,749.8,1.368
9502,0.5055,NA,NA,NA,NA,12400,0.7728,1172,1.087,NA,NA,662.4,0.9033
7867,0.5577,NA,NA,NA,NA,14740,0.7075,1380,1.312,NA,NA,535.2,0.9325
7253,0.5902,NA,NA,NA,NA,6217,1.256,2741,0.7069,NA,NA,581.4,0.8453
10120,0.5287,NA,NA,NA,NA,14070,0.7721,1752,1.127,NA,NA,702.6,1.125
5595,0.6427,NA,NA,NA,NA,8916,0.7877,927.6,0.9201,NA,NA,698.1,1.11
7137,0.6704,NA,NA,NA,NA,8837,0.8643,876,0.8466,NA,NA,730.6,1.202
7494,0.5751,NA,NA,NA,NA,18680,0.6077,1071,1.11,NA,NA,712.5,1.211
9470,0.5116,NA,NA,NA,NA,18580,0.6649,959.2,1.063,NA,NA,692,1.112
11010,0.5132,NA,NA,NA,NA,25960,0.5551,1412,1.824,NA,NA,699.7,1.357
9163,0.54,NA,NA,NA,NA,16260,0.6449,1447,1.002,NA,NA,699.9,1.189
7220,0.6302,NA,NA,NA,NA,6738,1.02,1363,0.7422,NA,NA,750.4,1.149
7719,0.5834,NA,NA,NA,NA,18080,0.5847,1131,0.9822,NA,NA,662.8,1.336
7499,0.5,NA,NA,NA,NA,8609,0.9747,1038,0.8607,NA,NA,707.8,1.134
7840,0.5046,NA,NA,NA,NA,11480,0.678,1267,1.226,NA,NA,616.5,1.35
7728,0.6067,NA,NA,NA,NA,22470,0.655,1085,1.632,NA,NA,713.6,1.429
3862,0.6936,NA,NA,NA,NA,7280,0.9641,1736,1.365,NA,NA,743.7,1.34
6951,0.683,NA,NA,NA,NA,17490,0.8322,1105,1.628,NA,NA,650.6,1.176
5129,0.789,NA,NA,NA,NA,11080,0.9079,1278,0.7185,NA,NA,664.5,1.108
11320,0.6738,NA,NA,NA,NA,15460,0.6615,1270,0.7125,NA,NA,665.2,1.083
11600,0.5741,NA,NA,NA,NA,14040,0.69,1169,1.261,NA,NA,725.4,1.202
14420,0.5094,NA,NA,NA,NA,12460,0.8228,1228,0.6722,NA,NA,605.4,0.9976
7197,0.6077,NA,NA,NA,NA,12830,0.7361,999.8,0.7866,NA,NA,563.4,0.9239
7988,0.5177,NA,NA,NA,NA,10900,0.842,1443,0.6058,NA,NA,598.5,0.9011
9912,0.5072,NA,NA,NA,NA,27430,0.5613,1393,1.339,NA,NA,921.5,1.016
9210,0.5335,NA,NA,NA,NA,44070,0.519,1165,0.9613,NA,NA,884.6,1.039
8913,0.5434,NA,NA,NA,NA,29900,0.5018,1550,1.375,NA,NA,656,1.577
9664,0.5063,NA,NA,NA,NA,27670,0.5692,1311,1.078,NA,NA,787,1.182
8108,0.5026,NA,NA,NA,NA,14150,0.6555,1639,1.129,NA,NA,842.2,1.311
6144,0.5778,NA,NA,NA,NA,20390,0.5464,897.5,1.126,NA,NA,780.8,0.9697
6203,0.6377,NA,NA,NA,NA,7490,0.9722,1103,1.6,NA,NA,803.2,1.241
7514,0.5018,NA,NA,NA,NA,9919,0.824,1422,0.8515,NA,NA,651.4,1.068
9011,0.5695,NA,NA,NA,NA,11500,0.8559,1271,1.275,NA,NA,659.9,1.085
12010,0.5314,NA,NA,NA,NA,20390,0.6848,1363,1.364,NA,NA,730.1,1.238
6459,0.5688,NA,NA,NA,NA,13020,0.731,1608,0.5955,NA,NA,830.3,0.9388
9151,0.5875,NA,NA,NA,NA,11120,0.7934,1137,0.8144,NA,NA,719,1.329
6810,0.5756,NA,NA,NA,NA,10100,1.043,1862,0.7193,NA,NA,794.7,1.521
6993,0.5086,NA,NA,NA,NA,9232,1.102,1404,0.6181,NA,NA,707,1.003
7572,0.5425,NA,NA,NA,NA,6810,1.279,965.1,0.7628,NA,NA,814.6,1.293
10400,0.5399,NA,NA,NA,NA,10360,0.7585,1222,1.196,NA,NA,676.5,1.247
8336,0.5092,NA,NA,NA,NA,7484,1.149,1458,0.766,NA,NA,781.1,1.249
6078,0.7596,NA,NA,NA,NA,32260,0.5445,1578,1.626,NA,NA,794.3,1.136
4856,0.8183,NA,NA,NA,NA,16180,0.7139,1431,1.622,NA,NA,615.2,1.012
5578,0.8227,NA,NA,NA,NA,11550,0.7716,979.8,1.003,NA,NA,625.9,0.8807
7390,0.5286,NA,NA,NA,NA,27360,0.5788,1091,1.064,NA,NA,767.8,0.89
6755,0.6074,NA,NA,NA,NA,13280,0.6703,2623,0.5209,NA,NA,691.2,0.9396
8192,0.5997,NA,NA,NA,NA,20360,0.5769,1685,1.086,NA,NA,659.2,0.9219
8660,0.5198,NA,NA,NA,NA,9288,0.8649,1427,0.5522,NA,NA,767.2,1.514
8476,0.5218,NA,NA,NA,NA,12260,0.7022,1545,1.166,NA,NA,753.2,1.21
8013,0.5052,NA,NA,NA,NA,9109,0.7868,1455,0.9375,NA,NA,655.4,1.098
7501,0.5848,NA,NA,NA,NA,11470,0.9526,1568,0.6297,NA,NA,652.3,1.165
5322,0.6128,NA,NA,NA,NA,18740,0.6349,765.3,0.9031,NA,NA,664.7,1.254
7803,0.5761,NA,NA,NA,NA,22250,0.5246,754,0.9594,NA,NA,757.9,1.298
4249,0.6027,NA,NA,NA,NA,12570,0.6631,1649,0.789,NA,NA,900.3,1.398
6176,0.5429,NA,NA,NA,NA,10100,0.9212,1156,1.117,NA,NA,581.4,1.324
6636,0.5516,NA,NA,NA,NA,26870,0.536,1535,0.9068,NA,NA,655.7,1.019
7218,0.5048,NA,NA,NA,NA,22200,0.601,1211,1.029,NA,NA,729.3,1.109
8427,0.5182,NA,NA,NA,NA,13140,0.752,1523,0.821,NA,NA,717.6,1.298
11330,0.5099,NA,NA,NA,NA,13610,0.8627,808.9,0.9943,NA,NA,775.7,1.144
9640,0.5179,NA,NA,NA,NA,19170,0.6845,1288,0.7363,NA,NA,693.6,1.184
5835,0.63,NA,NA,NA,NA,16480,0.7345,1158,0.9598,NA,NA,757.3,1.171
7185,0.5642,NA,NA,NA,NA,28930,0.5311,1147,0.8191,NA,NA,745.7,1.197
11260,0.555,NA,NA,NA,NA,24630,0.5803,1310,0.7383,NA,NA,798.5,0.7974
10590,0.5274,NA,NA,NA,NA,35280,0.5075,1595,0.6237,NA,NA,697.8,1.27
7193,0.6848,NA,NA,NA,NA,18300,0.6005,1756,1.068,NA,NA,669,1.086
5142,0.792,NA,NA,NA,NA,14640,0.7413,1363,0.8581,NA,NA,667.8,1.063
7822,0.5639,NA,NA,NA,NA,17520,0.6515,1076,0.738,NA,NA,550.7,0.9023
