ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
395800,0.5299,NA,NA,NA,NA,1321000,0.6206,2.42E+09,1.919,NA,NA,925200,0.6899
534100,0.5547,NA,NA,NA,NA,840000,0.5956,3436000,0.864,NA,NA,318100,1.189
513100,0.5806,NA,NA,NA,NA,465600,0.9831,620200000,1.239,NA,NA,1329000,0.6285
312200,0.5411,NA,NA,NA,NA,2407000,0.5734,146200000,0.6324,NA,NA,1055000,0.6694
311100,0.5171,NA,NA,NA,NA,4221000,0.535,42640000,0.8871,NA,NA,1598000,0.5854
374100,0.6093,NA,NA,NA,NA,4783000,0.5024,1361000,1.858,NA,NA,1243000,0.5705
385000,0.557,NA,NA,NA,NA,4317000,0.5079,81920000,1.669,NA,NA,1112000,0.6993
624000,0.5347,NA,NA,NA,NA,1316000,0.6995,71930000,1.371,NA,NA,867500,0.7839
377000,0.6774,NA,NA,NA,NA,1079000,0.9212,4556000,1.876,NA,NA,1176000,0.7162
219200,0.7428,NA,NA,NA,NA,612400,1.074,15330000,1.078,NA,NA,733000,0.8189
219400,0.8999,NA,NA,NA,NA,2036000,0.5993,24140000,1.493,NA,NA,787300,0.7626
276100,0.6251,NA,NA,NA,NA,1685000,0.5532,1.58E+09,1.45,NA,NA,1343000,0.6079
476100,0.5121,NA,NA,NA,NA,2915000,0.543,2090000,1.852,NA,NA,532400,0.9324
454000,0.5016,NA,NA,NA,NA,2223000,0.5727,1189000,1.672,NA,NA,919000,0.6525
378200,0.5156,NA,NA,NA,NA,3744000,0.5402,1.61E+08,1.979,NA,NA,786200,0.744
378700,0.5481,NA,NA,NA,NA,2948000,0.5189,50410000,1.975,NA,NA,844700,0.7064
331000,0.6045,NA,NA,NA,NA,3380000,0.5033,1.02E+09,1.608,NA,NA,1285000,0.6226
365700,0.5978,NA,NA,NA,NA,3281000,0.5017,1.80E+09,1.679,NA,NA,546900,1.001
408400,0.5959,NA,NA,NA,NA,2244000,0.5453,5895000,1.772,NA,NA,1263000,0.6308
270400,0.5971,NA,NA,NA,NA,2829000,0.5157,163600000,1.603,NA,NA,2366000,0.5389
150700,0.8756,NA,NA,NA,NA,1302000,0.753,917100000,1.345,NA,NA,1879000,0.571
211300,1.012,NA,NA,NA,NA,686500,0.9977,9.96E+09,1.305,NA,NA,1794000,0.5374
275500,0.5598,NA,NA,NA,NA,3270000,0.505,318700000,1.677,NA,NA,1699000,0.6219
612200,0.5261,NA,NA,NA,NA,3351000,0.518,3069000,1.41,NA,NA,1060000,0.707
607100,0.5475,NA,NA,NA,NA,2570000,0.5776,190900000,0.9171,NA,NA,663600,0.888
601300,0.5632,NA,NA,NA,NA,4010000,0.5616,20430000,1.402,NA,NA,466900,0.9928
367500,0.6262,NA,NA,NA,NA,3750000,0.5808,1.30E+09,1.291,NA,NA,382700,1.196
351400,0.5074,NA,NA,NA,NA,809700,0.8175,35580000,1.467,NA,NA,288200,1.456
260800,0.595,NA,NA,NA,NA,986400,0.8562,2.04E+09,0.7071,NA,NA,1224000,0.6229
340400,0.5338,NA,NA,NA,NA,3233000,0.5052,1.27E+09,0.6101,NA,NA,476000,1.061
431900,0.6429,NA,NA,NA,NA,1720000,0.5671,442600000,1.775,NA,NA,1356000,0.5473
429500,0.5667,NA,NA,NA,NA,1790000,0.6773,20200000,1.192,NA,NA,381600,1.105
517900,0.5059,NA,NA,NA,NA,1138000,0.7745,70810000,0.9487,NA,NA,1307000,0.5415
349600,0.5895,NA,NA,NA,NA,915900,0.6735,447500000,1.493,NA,NA,1036000,0.7393
881600,0.5078,NA,NA,NA,NA,1999000,0.5261,2691000,1.498,NA,NA,1408000,0.612
800800,0.5035,NA,NA,NA,NA,1442000,0.6479,376700000,1.181,NA,NA,1116000,0.6742
789700,0.5024,NA,NA,NA,NA,2541000,0.576,1.55E+09,1.772,NA,NA,1367000,0.562
