ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
114300,0.5473,NA,NA,NA,NA,344300,0.5256,19540,1.758,NA,NA,11270,1.34
83860,0.7956,NA,NA,NA,NA,164100,0.5754,23520,1.298,NA,NA,12880,1.005
62770,0.6437,NA,NA,NA,NA,114500,0.5441,20690,1.629,NA,NA,10100,0.756
146500,0.6723,NA,NA,NA,NA,110700,0.5471,22630,1.663,NA,NA,9060,0.8372
131700,0.5276,NA,NA,NA,NA,174700,0.6091,23710,1.606,NA,NA,11150,1.084
126400,0.5176,NA,NA,NA,NA,216000,0.5672,21400,1.317,NA,NA,5306,1.081
136000,0.5158,NA,NA,NA,NA,216100,0.5201,22180,1.647,NA,NA,14720,1.346
119600,0.5104,NA,NA,NA,NA,240100,0.5165,20140,1.342,NA,NA,11080,0.9024
111700,0.5642,NA,NA,NA,NA,199500,0.6147,20470,1.436,NA,NA,12390,0.8679
178400,0.5007,NA,NA,NA,NA,248800,0.5487,19520,1.386,NA,NA,13000,0.9694
141700,0.5819,NA,NA,NA,NA,240800,0.501,20410,1.436,NA,NA,14250,0.7203
141100,0.5182,NA,NA,NA,NA,226100,0.5642,18930,1.576,NA,NA,8454,0.8914
122300,0.5377,NA,NA,NA,NA,172300,0.5334,21880,1.51,NA,NA,8927,1.052
110600,0.5092,NA,NA,NA,NA,164300,0.5258,21770,1.532,NA,NA,8105,0.7371
170000,0.5338,NA,NA,NA,NA,262000,0.5881,22740,1.481,NA,NA,8846,0.8754
168700,0.513,NA,NA,NA,NA,260700,0.5099,23110,1.51,NA,NA,6096,0.9975
104900,0.5093,NA,NA,NA,NA,203000,0.5855,17540,1.41,NA,NA,7264,0.8389
136600,0.5287,NA,NA,NA,NA,183600,0.5588,18080,1.523,NA,NA,10070,0.7743
135500,0.5189,NA,NA,NA,NA,143600,0.5684,23690,1.409,NA,NA,11750,1.044
77460,0.5433,NA,NA,NA,NA,186800,0.538,21330,1.451,NA,NA,9781,0.8028
90350,0.5107,NA,NA,NA,NA,183100,0.5398,21230,1.263,NA,NA,6787,0.8781
63130,0.5421,NA,NA,NA,NA,229300,0.6239,20700,1.495,NA,NA,10370,1.017
168100,0.5495,NA,NA,NA,NA,226400,0.6952,20860,1.67,NA,NA,13020,1.035
117900,0.5141,NA,NA,NA,NA,238900,0.6711,22360,1.412,NA,NA,5915,0.7324
141900,0.5489,NA,NA,NA,NA,123800,0.6436,22920,1.571,NA,NA,5427,0.9778
155800,0.5036,NA,NA,NA,NA,265700,0.5274,19190,1.054,NA,NA,7081,0.974
41840,0.5516,NA,NA,NA,NA,254100,0.557,17520,1.081,NA,NA,8344,1.018
86120,0.6031,NA,NA,NA,NA,214700,0.5234,20750,1.887,NA,NA,12650,1.03
96310,0.5239,NA,NA,NA,NA,175000,0.5179,23740,1.857,NA,NA,9595,0.9335
