ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
163.2,0.5258,NA,NA,NA,NA,5192,1.761,1936,0.645,NA,NA,191.2,0.9441
87.57,0.5563,NA,NA,NA,NA,424400,1.927,1362,0.7217,NA,NA,367.1,0.8214
88.81,0.6041,NA,NA,NA,NA,178900,0.9734,2618,0.791,NA,NA,300.9,0.5538
127.9,0.5156,NA,NA,NA,NA,1.51E+09,1.535,2400,0.5307,NA,NA,263.6,0.7093
123.5,0.6511,NA,NA,NA,NA,24160,1.95,2859,0.5251,NA,NA,311.5,0.5203
143.7,0.5653,NA,NA,NA,NA,9387,1.988,1938,0.6769,NA,NA,239.6,0.9285
131.8,0.5149,NA,NA,NA,NA,479800000,1.569,1995,0.5545,NA,NA,330.3,0.6665
81.55,0.5017,NA,NA,NA,NA,3.65E+09,1.205,9523,0.5241,NA,NA,375.4,0.5024
77.43,0.6209,NA,NA,NA,NA,4.56E+09,1.972,8397,0.5081,NA,NA,322.5,0.5842
198.8,0.5131,NA,NA,NA,NA,6.81E+09,1.066,5882,0.5352,NA,NA,384.4,0.5734
181.3,0.5268,NA,NA,NA,NA,4.84E+09,1.238,5146,0.5145,NA,NA,408.4,0.6056
61.83,0.6377,NA,NA,NA,NA,1.23E+09,1.067,1740,0.6361,NA,NA,227.4,0.587
72.3,0.51,NA,NA,NA,NA,3.26E+09,0.7317,4132,0.5934,NA,NA,389.5,0.5971
169.8,0.6015,NA,NA,NA,NA,134200000,0.5819,5636,0.5335,NA,NA,362.3,0.5119
84.87,0.6408,NA,NA,NA,NA,5334000,1.477,3756,0.5417,NA,NA,319.7,0.7185
110,0.6951,NA,NA,NA,NA,972400000,0.9206,2893,0.5755,NA,NA,371.6,0.5677
181.9,0.5073,NA,NA,NA,NA,3525000,0.9975,2441,0.5555,NA,NA,239.6,0.6367
172.4,0.518,NA,NA,NA,NA,90900000,1.695,1376,0.6672,NA,NA,270.7,0.5582
