ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
314,0.5574,NA,NA,NA,NA,21960,0.7066,117600000,0.5729,NA,NA,32500,0.541
306.1,0.9381,NA,NA,NA,NA,44050,0.6393,469600000,0.9876,NA,NA,30970,0.5733
377.9,0.5739,NA,NA,NA,NA,79430,0.5329,29340000,0.628,NA,NA,26640,0.5391
363.1,0.9923,NA,NA,NA,NA,53940,0.6287,3465000,1.8,NA,NA,29700,0.5379
302.8,0.592,NA,NA,NA,NA,96970,0.5343,9909000,1.531,NA,NA,34420,0.5401
223.8,0.6263,NA,NA,NA,NA,104500,0.5159,1319000,0.9637,NA,NA,28870,0.5248
240.2,0.7102,NA,NA,NA,NA,55660,0.5317,4944000,0.8691,NA,NA,19960,0.6443
312,1.224,NA,NA,NA,NA,21640,0.8119,196900000,1.97,NA,NA,14890,0.7148
437.2,0.707,NA,NA,NA,NA,31340,0.6302,187200000,0.5768,NA,NA,35740,0.5084
315.8,1.061,NA,NA,NA,NA,62130,0.5377,24270,1.796,NA,NA,16410,0.6885
376.4,0.7136,NA,NA,NA,NA,54060,0.6266,402200,1.75,NA,NA,9287,0.7942
212.7,0.8028,NA,NA,NA,NA,74500,0.5543,5.11E+09,1.757,NA,NA,7005,1.165
425.6,0.889,NA,NA,NA,NA,73580,0.5324,4.33E+09,1.793,NA,NA,8456,1.144
386.9,0.7743,NA,NA,NA,NA,58970,0.5728,4109000,0.7875,NA,NA,18530,0.6909
307.6,0.9346,NA,NA,NA,NA,100300,0.5198,2.97E+09,1.933,NA,NA,17720,0.6794
118.7,0.7913,NA,NA,NA,NA,88970,0.5445,5.28E+09,1.55,NA,NA,15980,0.6402
333.8,0.7617,NA,NA,NA,NA,67440,0.5537,2.49E+08,0.8914,NA,NA,14590,0.746
258.1,0.8277,NA,NA,NA,NA,59550,0.5609,20790000,1.705,NA,NA,20330,0.5833
256.5,0.6505,NA,NA,NA,NA,44360,0.6343,6679000,1.778,NA,NA,8934,0.8021
295.6,0.7618,NA,NA,NA,NA,34480,0.6693,3.49E+09,0.7684,NA,NA,7576,1.447
214.9,0.5757,NA,NA,NA,NA,31660,0.6873,156500000,1.918,NA,NA,25070,0.5074
331.7,0.7387,NA,NA,NA,NA,35650,0.7327,7.63E+09,0.6054,NA,NA,10700,0.6672
331,1.244,NA,NA,NA,NA,43310,0.5697,4.47E+09,1.169,NA,NA,15290,0.5625
449.7,1.495,NA,NA,NA,NA,17200,0.8642,115400,1.989,NA,NA,19480,0.5429
363.9,1.216,NA,NA,NA,NA,22940,0.7712,6086000,1.739,NA,NA,18140,0.7283
361.9,1.19,NA,NA,NA,NA,85910,0.5212,50730000,0.7997,NA,NA,14200,0.8145
158,0.5561,NA,NA,NA,NA,88280,0.5347,3.39E+09,0.7451,NA,NA,17420,0.8127
129.9,0.5974,NA,NA,NA,NA,75920,0.5635,1.18E+09,0.5347,NA,NA,31710,0.5547
540.7,1.161,NA,NA,NA,NA,73390,0.5533,1128000,0.9448,NA,NA,21750,0.6141
554.9,0.7634,NA,NA,NA,NA,102700,0.5204,119100,1.974,NA,NA,29890,0.5288
348,0.6459,NA,NA,NA,NA,75680,0.5468,38150000,1.145,NA,NA,60660,0.5093
330.8,0.6963,NA,NA,NA,NA,48200,0.6432,359700000,1.12,NA,NA,67260,0.6049
298.5,0.8345,NA,NA,NA,NA,77130,0.58,8063000,1.375,NA,NA,19840,0.5076
298.1,0.7267,NA,NA,NA,NA,78940,0.5317,11040000,0.8352,NA,NA,39910,0.5289
367.3,0.7181,NA,NA,NA,NA,85220,0.5351,1.03E+09,0.677,NA,NA,19730,0.6365
496.6,0.7489,NA,NA,NA,NA,54300,0.6046,214500000,1.666,NA,NA,21460,0.5545
252.7,0.6958,NA,NA,NA,NA,107200,0.5265,298300000,1.85,NA,NA,11860,1.014
606.5,0.848,NA,NA,NA,NA,128400,0.5037,303400000,0.9197,NA,NA,30520,0.673
788.7,0.5093,NA,NA,NA,NA,114000,0.5056,17940000,1.406,NA,NA,10600,0.7808
773.1,0.6337,NA,NA,NA,NA,27000,0.763,43290000,1.109,NA,NA,46830,0.5578
376.4,0.7609,NA,NA,NA,NA,40090,0.6439,956100,1.423,NA,NA,29990,0.6168
336.5,0.6462,NA,NA,NA,NA,102200,0.5346,1.27E+09,1.764,NA,NA,10790,0.9298
338.8,0.8055,NA,NA,NA,NA,26760,0.8508,474800000,1.724,NA,NA,48590,0.5164
266.9,0.5931,NA,NA,NA,NA,20170,0.9137,371800,1.442,NA,NA,27040,0.5332
323.9,0.5735,NA,NA,NA,NA,13340,0.9468,216700000,1.001,NA,NA,28720,0.5808
133.2,0.6893,NA,NA,NA,NA,27420,0.7565,1.33E+09,1.074,NA,NA,14210,0.6564
354.8,0.5267,NA,NA,NA,NA,20610,0.8089,4.22E+09,1.523,NA,NA,12120,0.7741
477,0.833,NA,NA,NA,NA,56050,0.5833,117800,1.699,NA,NA,9044,0.8395
341.2,0.7807,NA,NA,NA,NA,37070,0.6508,4.01E+09,1.661,NA,NA,12970,0.7512
328,0.8836,NA,NA,NA,NA,46480,0.6225,104300000,1.811,NA,NA,12370,0.8355
458,1.016,NA,NA,NA,NA,55500,0.5622,882900000,1.933,NA,NA,16900,1.085
592.5,0.7614,NA,NA,NA,NA,117000,0.5061,21940000,1.771,NA,NA,7293,1.001
376.5,0.9038,NA,NA,NA,NA,102200,0.5098,6955000,1.724,NA,NA,7513,0.8397
422.7,0.7745,NA,NA,NA,NA,87350,0.5289,6572000,1.869,NA,NA,10290,0.8829
247.5,0.7601,NA,NA,NA,NA,91960,0.5229,19090000,1.963,NA,NA,10130,1.023
395.9,0.5974,NA,NA,NA,NA,33550,0.6568,1.01E+09,1.443,NA,NA,98290,0.6634
344.5,0.7869,NA,NA,NA,NA,67720,0.5426,1.73E+08,0.6463,NA,NA,78260,0.5063
420,0.7623,NA,NA,NA,NA,83620,0.562,174600000,1.401,NA,NA,5201,1.076
305.8,1.139,NA,NA,NA,NA,102200,0.5027,6.31E+09,1.684,NA,NA,10250,1.043
433.9,0.6666,NA,NA,NA,NA,30870,0.6803,8.62E+09,1.438,NA,NA,26720,0.6056
379.5,0.6911,NA,NA,NA,NA,29990,0.8148,414100,1.546,NA,NA,23200,0.6126
