ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
834.6,0.6524,NA,NA,NA,NA,770.9,0.8847,166.2,0.8536,NA,NA,298,1.129
813.9,0.5224,NA,NA,NA,NA,1793,0.5613,168.7,1.243,NA,NA,330.3,0.9322
833.3,0.5412,NA,NA,NA,NA,942.8,0.6935,118.4,1.043,NA,NA,709,0.7581
709.6,0.5201,NA,NA,NA,NA,1318,0.621,148.2,1.12,NA,NA,611.6,0.5321
1248,0.5554,NA,NA,NA,NA,1731,0.5747,135.6,1.095,NA,NA,453.6,1.328
1001,0.5334,NA,NA,NA,NA,1274,0.6339,167.8,1.062,NA,NA,304.8,1.067
824.6,0.5057,NA,NA,NA,NA,580.3,0.7647,171.3,0.9876,NA,NA,543.2,0.7082
839.3,0.5288,NA,NA,NA,NA,1415,0.5849,167.9,1.469,NA,NA,292.1,0.9697
731.9,0.5649,NA,NA,NA,NA,912.5,0.7428,153.3,1.244,NA,NA,369.1,1.06
882,0.5249,NA,NA,NA,NA,796.3,0.8977,139.6,1.138,NA,NA,321,0.5297
949.1,0.5135,NA,NA,NA,NA,1114,0.5941,184.6,1.1,NA,NA,575.7,0.6204
680.6,0.5629,NA,NA,NA,NA,1056,0.5422,137.1,1.126,NA,NA,397.8,0.9206
912.4,0.5042,NA,NA,NA,NA,570,0.8003,151.7,1.177,NA,NA,537.5,0.6706
736,0.5269,NA,NA,NA,NA,770.2,0.6492,173.5,1.562,NA,NA,539.4,0.6564
833.9,0.5241,NA,NA,NA,NA,623.8,0.8353,169.4,0.9983,NA,NA,808.1,0.5064
586.1,0.5812,NA,NA,NA,NA,619.3,0.6552,162.8,1.291,NA,NA,512.2,0.6151
921.3,0.5533,NA,NA,NA,NA,918,1.062,184.7,1.108,NA,NA,703.8,0.5151
466.2,0.5473,NA,NA,NA,NA,583.9,1.075,132.1,1.023,NA,NA,421.7,0.9117
599.4,0.5351,NA,NA,NA,NA,1455,0.6207,163.5,1.237,NA,NA,513.3,0.6501
866.2,0.5562,NA,NA,NA,NA,960.2,0.5769,177.5,1.14,NA,NA,490.4,0.6576
1119,0.5149,NA,NA,NA,NA,1012,0.597,150.3,1.373,NA,NA,374.1,0.7459
1097,0.5063,NA,NA,NA,NA,1440,0.5475,191.8,1.226,NA,NA,370.9,0.9336
842.5,0.5077,NA,NA,NA,NA,1513,0.5054,153.4,1.558,NA,NA,376.5,0.8326
706.4,0.5458,NA,NA,NA,NA,1491,0.5383,155.8,1.423,NA,NA,387.8,0.9161
880.9,0.5396,NA,NA,NA,NA,716.9,0.6661,171.1,1.176,NA,NA,376,0.9214
896.1,0.5294,NA,NA,NA,NA,762,0.6755,179.4,1.406,NA,NA,436.5,0.8312
782.1,0.5299,NA,NA,NA,NA,896,0.6069,140.9,1.204,NA,NA,454.8,0.9927
822.7,0.5216,NA,NA,NA,NA,733.5,0.7835,158.7,1.144,NA,NA,607.1,0.9207
870.4,0.5224,NA,NA,NA,NA,737.9,0.7044,157.5,1.144,NA,NA,395.9,0.836
942.3,0.5177,NA,NA,NA,NA,1250,0.5476,175,1.362,NA,NA,460.4,0.6572
958.5,0.5023,NA,NA,NA,NA,414.1,0.9895,181.4,1.198,NA,NA,525,0.5745
535,0.6104,NA,NA,NA,NA,2033,0.5195,183.1,0.9284,NA,NA,419.4,0.7219
