ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2356,0.5913,NA,NA,NA,NA,38200,0.6385,12880,0.9325,NA,NA,863.1,1.715
2403,0.6633,NA,NA,NA,NA,34720,0.6484,13340,0.8393,NA,NA,1020,1.456
2124,0.5791,NA,NA,NA,NA,53220,0.5064,8647,1.061,NA,NA,980.5,1.669
2627,0.6527,NA,NA,NA,NA,23930,0.5933,14590,0.7842,NA,NA,894.8,1.861
2724,0.7403,NA,NA,NA,NA,22180,0.617,7574,1.185,NA,NA,895.1,1.814
2634,0.6603,NA,NA,NA,NA,27840,0.5809,10990,1.152,NA,NA,964.7,1.947
2521,0.6944,NA,NA,NA,NA,28800,0.5348,8624,1.319,NA,NA,950.1,1.624
2354,0.5888,NA,NA,NA,NA,29380,0.5509,7940,1.685,NA,NA,948,1.589
2268,0.5678,NA,NA,NA,NA,25540,0.6855,8917,1.682,NA,NA,1106,1.846
2027,0.6251,NA,NA,NA,NA,39160,0.6319,9097,1.769,NA,NA,890.5,1.641
2119,0.5735,NA,NA,NA,NA,39070,0.511,7948,1.712,NA,NA,818.2,1.685
2638,0.5814,NA,NA,NA,NA,33410,0.5827,9331,0.9969,NA,NA,940.3,1.66
2456,0.5719,NA,NA,NA,NA,27280,0.5126,9972,1.424,NA,NA,897.5,1.82
2509,0.6637,NA,NA,NA,NA,37190,0.5513,10740,1.106,NA,NA,1052,1.62
2167,0.8363,NA,NA,NA,NA,13540,0.8359,11180,1.043,NA,NA,749.9,1.351
1874,0.5487,NA,NA,NA,NA,20980,0.5698,10910,1.113,NA,NA,1028,1.523
1817,0.5315,NA,NA,NA,NA,39820,0.5703,9415,1.215,NA,NA,903.1,1.578
2140,0.5862,NA,NA,NA,NA,36980,0.5094,11260,1.262,NA,NA,839.8,1.71
2399,0.5409,NA,NA,NA,NA,39900,0.5889,10810,0.9413,NA,NA,1142,1.547
2213,0.5053,NA,NA,NA,NA,12510,1.016,8984,1.805,NA,NA,1017,1.541
2836,0.6325,NA,NA,NA,NA,16300,0.7543,8707,1.849,NA,NA,1046,1.188
2696,0.637,NA,NA,NA,NA,22880,0.5876,7989,1.322,NA,NA,750.4,1.368
2548,0.5288,NA,NA,NA,NA,28200,0.5707,11730,0.939,NA,NA,824.2,1.917
2360,0.5773,NA,NA,NA,NA,19730,0.6904,10970,0.9906,NA,NA,839.2,1.676
1761,0.6338,NA,NA,NA,NA,48130,0.5579,11540,0.8881,NA,NA,929.6,1.62
2071,0.5839,NA,NA,NA,NA,44850,0.6376,10130,0.9996,NA,NA,711.7,1.898
2848,0.6953,NA,NA,NA,NA,62500,0.5089,12480,1.294,NA,NA,942,1.64
2054,0.5246,NA,NA,NA,NA,26540,0.8907,9654,1.298,NA,NA,703.5,1.579
2730,0.613,NA,NA,NA,NA,13630,0.9083,8692,1.25,NA,NA,846.4,1.642
2223,0.5851,NA,NA,NA,NA,25530,0.6695,9995,0.9552,NA,NA,814.7,1.902
2187,0.5302,NA,NA,NA,NA,14670,0.5625,8071,0.9961,NA,NA,958.4,1.946
3095,0.5158,NA,NA,NA,NA,17090,0.8256,9109,1.204,NA,NA,999.2,1.311
2711,0.6333,NA,NA,NA,NA,25480,0.7774,10600,0.9514,NA,NA,827.6,1.503
2511,0.5848,NA,NA,NA,NA,21110,0.6716,8796,1.279,NA,NA,899.3,1.739
2033,0.5618,NA,NA,NA,NA,40850,0.5654,6865,1.102,NA,NA,1021,1.481
2563,0.5919,NA,NA,NA,NA,36160,0.5187,10890,0.9392,NA,NA,1044,1.842
1940,0.5183,NA,NA,NA,NA,20240,0.5845,17350,0.767,NA,NA,1114,1.947
2371,0.5378,NA,NA,NA,NA,48650,0.5347,13440,0.8422,NA,NA,1095,1.514
